title,color,lowScore,highScore,set,rarity,instant,removal,face,fixing,review,imageUrl
Abnormal Endurance,black,1.5,,m19,common,instant,,,,"We never knew how good we had it with Supernatural Stamina, at least not until it was gone. Abnormal Endurance is an acceptable combat trick if you're in the market for one, which not every deck will be. It does get bonus points if you have a bunch of creatures with ETB effects, so be on the lookout for that.",https://raw.githubusercontent.com/jakobmattsson/mtg-cards/master/images/m19/Abnormal Endurance.png
Blood Divination,black,1,3,m19,uncommon,,,,,"Without support, this is quite bad. Divination isn't Divination if you have to sacrifice a creature, even with an extra card attached. Once you're in the sacrifice deck (usually red-black, but potentially white-black or blue-black with enough tokens), this becomes a lot more interesting. It's still on the low end of payoffs, so don't prioritize it.",https://raw.githubusercontent.com/jakobmattsson/mtg-cards/master/images/m19/Blood Divination.png
Bogstomper,black,1.5,,m19,common,,,,,"I'd much rather be stomping terra than bog, but sometimes you have to play with the cards you're dealt. These won't be in high demand, and are a fine way to fill your top-end slots if you've got nothing else.",https://raw.githubusercontent.com/jakobmattsson/mtg-cards/master/images/m19/Bogstomper.png
Bone Dragon,black,4.5,,m19,mythic,,,,,"Someone is getting boned, that's for sure. This thing is huge, flies, and can even come back later in the game. Granted, seven cards is a lot, but it's pure upside, and you will eventually get there if the game drags on.",https://raw.githubusercontent.com/jakobmattsson/mtg-cards/master/images/m19/Bone Dragon.png
Child of Night,black,2.5,,m19,common,,,,,"In the life gain deck, this is a premier 2-drop, and it's more than fine outside of it as well. Extra life matters, and getting 2-4 points from this puts it ahead of most things you could cast on turn 2.",https://raw.githubusercontent.com/jakobmattsson/mtg-cards/master/images/m19/Child of Night.png
Death Baron,black,2.5,,m19,rare,,,,,"With four common Zombies and a common Skeleton (plus more at higher rarities), Death Baron isn't bad card to gamble on. It won't be a deck-defining card very often, but it will be worth playing, as it pays you off with as few as three other creatures it pumps. If deathtouch lets you trade up even once, this is a fine deal.",https://raw.githubusercontent.com/jakobmattsson/mtg-cards/master/images/m19/Death Baron.png
Demon of Catastrophes,black,3.5,,m19,rare,,,,,"This has some build-around elements to it, as you don't want to just jam it in a 10-creature deck without sacrifice fodder, but the payoff here is big enough that it's worth taking early and trying to enable. It's not a catastrophe if you end up playing it in a deck with only one or two good outlets, as long as you have cheap creatures to eat. Note that if your opponent has too many ways to remove this, consider siding it out.",https://raw.githubusercontent.com/jakobmattsson/mtg-cards/master/images/m19/Demon of Catastrophes.png
Diregraf Ghoul,black,2.5,,m19,uncommon,,,,,"Between the minor Zombie theme and this just being a 1 mana 2/2, most decks will run this. It's not an exciting early pick, but it'll get the job done.",https://raw.githubusercontent.com/jakobmattsson/mtg-cards/master/images/m19/Diregraf Ghoul.png
Doomed Dissenter,black,2.5,,m19,common,,,,,"I've generally been happy with this card, even without synergies, and once you add in the sacrifice theme this becomes quite appealing. Some black-red decks will slam this without hesitation, and it's a fine blocker in blue-black control, making it fairly well-rounded.",https://raw.githubusercontent.com/jakobmattsson/mtg-cards/master/images/m19/Doomed Dissenter.png
Duress,black,0.5,,m19,common,,,,,"I've never run into a format where maindecking Duress is right, and I doubt M19 will change that. It is a great sideboard card, so keep an eye on how spell-dense the opponent is.",https://raw.githubusercontent.com/jakobmattsson/mtg-cards/master/images/m19/Duress.png
Epicure of Blood,black,2,,m19,common,,,face,,"This isn't exactly a big payoff for life gain, as it will ping the opponent for 1-2 damage a turn at best. Still, it's large enough to stall the ground, and does eventually kill them, so it might cure your ills if you're looking for a finisher.",https://raw.githubusercontent.com/jakobmattsson/mtg-cards/master/images/m19/Epicure of Blood.png
Fell Specter,black,3,,m19,uncommon,,,face,,"Getting one of their cards, pinging them for 2, and leaving a 1/3 flyer on the board is a lot of action for 4 mana, even if you never trigger the second ability again. Fell Specter is not a build-around, just a solid playable that you aren't likely to cut.",https://raw.githubusercontent.com/jakobmattsson/mtg-cards/master/images/m19/Fell Specter.png
Fraying Omnipotence,black,0,,m19,rare,,,face,,"It's really hard to imagine getting a substantial advantage out of this. The way to ""abuse"" it is to cast it when the rounding up clause hurts the opponent, as it makes them sacrifice two creatures if they have three, and the like. Still, paying 5 mana for a symmetrical effect is something I'm very suspicious of, and this is a card I'll have to tinker with before I'm convinced.",https://raw.githubusercontent.com/jakobmattsson/mtg-cards/master/images/m19/Fraying Omnipotence.png
Gravedigger,black,3.5,,m19,uncommon,,,,,I need no convincing on Gravedigger-it's an easy 2-for-1 that buys back a good card and pairs nicely with bounce and sacrifice cards alike. It's even splashable for good measure.,https://raw.githubusercontent.com/jakobmattsson/mtg-cards/master/images/m19/Gravedigger.png
Graveyard Marshal,black,4,,m19,rare,,,,,"This combines an aggressive stat line with a good late game ability, which is a desirable mix. You don't have to do anything special besides play creatures to make this great, and every deck will want it.",https://raw.githubusercontent.com/jakobmattsson/mtg-cards/master/images/m19/Graveyard Marshal.png
Hired Blade,black,2,,m19,common,instant,,,,"Hired Blade will ambush most things that cross his path, but at a price. He's not walking away from most of those encounters, which doesn't make for a lot of repeat customers. This is a decent creature with an ability that will let it trade up or get free damage in, which makes it a passable addition to most decks.",https://raw.githubusercontent.com/jakobmattsson/mtg-cards/master/images/m19/Hired Blade.png
Infectious Horror,black,1,,m19,common,,,,,"I wouldn't go so far as to call this horrorable, but that's only because I've run that one so many times. I will say that playing it isn't sick and more sickly than anything else. This is just too small to make an impact, and definitely not for 4 mana.",https://raw.githubusercontent.com/jakobmattsson/mtg-cards/master/images/m19/Infectious Horror.png
Infernal Reckoning,black,0,,m19,rare,instant,removal,,,"I'd stick to killing Eldrazi and Inkmoth Nexus in Modern, or whatever Constructed applications this may end up having.",https://raw.githubusercontent.com/jakobmattsson/mtg-cards/master/images/m19/Infernal Reckoning.png
Infernal Scarring,black,1,,m19,common,,,,,"The payoff here is not worth the risk or the effort, as you're jumping through a lot of hoops to maybe have this replace itself.",https://raw.githubusercontent.com/jakobmattsson/mtg-cards/master/images/m19/Infernal Scarring.png
Isareth the Awakener,black,4,,m19,rare,,,,,"A 3/3 deathtouch for 3 that puts you up a card each time it attacks is something I'm definitely in for. At the very least, Isareth is a 2-for-1, and often will be much better.",https://raw.githubusercontent.com/jakobmattsson/mtg-cards/master/images/m19/Isareth the Awakener.png
Lich's Caress,black,3.5,,m19,common,,removal,,,"The extra 3 life matters a lot here. Not only does it enable life gain synergies, it keeps you alive after you spend 5 mana killing a creature. Unconditional removal with an upside gets a 3.5 in my book, even if just barely.",https://raw.githubusercontent.com/jakobmattsson/mtg-cards/master/images/m19/Lich's Caress.png
"Liliana, Untouched by Death",black,1,2.5,m19,mythic,,,,,"I was all ready to give Liliana a high grade, but then I read her. If your deck isn't full of Zombies, she does nothing. None of her abilities work without Zombies, and that's not something you can rely on in this format. If you end up with 5+ Zombies in your deck, she will be solid, but this isn't a planeswalker you should rejoice about opening.","https://raw.githubusercontent.com/jakobmattsson/mtg-cards/master/images/m19/Liliana, Untouched by Death.png"
Liliana's Contract,black,2.5,,m19,rare,,,,,"The power of this is mostly based on the second clause, as you can pick up 5-6 Demons in an average Draft. By that, I mean that you should treat this as a painful way to draw cards, and try and use it in an aggressive deck or one that has a lot of life gain. It's quite powerful if you can afford it, which is on-theme for a Contract from Below.",https://raw.githubusercontent.com/jakobmattsson/mtg-cards/master/images/m19/Liliana's Contract.png
Macabre Waltz,black,2.5,,m19,common,,,,,"If you've got a lot of creatures, this is a fine way to turn a land into two spells in the late game. I value the first one of these pretty highly, and then they get subsequently less valuable.",https://raw.githubusercontent.com/jakobmattsson/mtg-cards/master/images/m19/Macabre Waltz.png
Mind Rot,black,2,,m19,common,,,,,"I never feel too bad about putting this in my deck, and sometimes it really overperforms. It's also great in Sealed, and a reason to keep excess lands in your hand if you don't need to play them.",https://raw.githubusercontent.com/jakobmattsson/mtg-cards/master/images/m19/Mind Rot.png
Murder,black,4,,m19,uncommon,instant,removal,,,Killing anything for 3 mana is what we in the card reviewing business call a good deal.,https://raw.githubusercontent.com/jakobmattsson/mtg-cards/master/images/m19/Murder.png
Nightmare's Thirst,black,1.5,3,m19,uncommon,instant,removal,,,"Worst case, this is a deal 1 gain 1, which is a decent sideboard option against X/1s. In a deck built to maximize this, it can kill real creatures for just 1 mana, which can be a nightmare to play against. Once you have 3+ sources of life gain, this becomes a good addition to your deck.",https://raw.githubusercontent.com/jakobmattsson/mtg-cards/master/images/m19/Nightmare's Thirst.png
Open the Graves,black,3.5,,m19,rare,,,,,"It looks very difficult to win a long game against an opponent who opens this, and as long as they have enough creatures in their deck, you will have trouble running them out of cards.",https://raw.githubusercontent.com/jakobmattsson/mtg-cards/master/images/m19/Open the Graves.png
Phylactery Lich,black,1,,m19,rare,,,,,"You need a lot of artifacts and a lot of Swamps for this to make the cut, so I prefer to bask in the sweet Lich flavor and not worry too much about how playable it is.",https://raw.githubusercontent.com/jakobmattsson/mtg-cards/master/images/m19/Phylactery Lich.png
Plague Mare,black,3,,m19,uncommon,,,,,"Horsey Chainwhirler is a great post-combat play after your opponent blocks your 2/2s with 3/3s, and can clean up 1 toughness creatures like nobody's business. Plus, every now and then it'll sneak past some white creatures.",https://raw.githubusercontent.com/jakobmattsson/mtg-cards/master/images/m19/Plague Mare.png
Ravenous Harpy,black,1.5,3,m19,uncommon,,,,,"In the dedicated sacrifice deck, this is a great finisher. Outside of that, its appetite is not worth satiating, as what you pay is not worth what you get. This starts a little small and takes a lot of food before it becomes great.",https://raw.githubusercontent.com/jakobmattsson/mtg-cards/master/images/m19/Ravenous Harpy.png
Reassembling Skeleton,black,3,,m19,uncommon,,,,,"It's not a disaster if you have to play this without synergies, as it blocks ground creatures and can be discarded or milled for profit. When you do have combos, it's awesome, and overall is a card I don't mind taking early.",https://raw.githubusercontent.com/jakobmattsson/mtg-cards/master/images/m19/Reassembling Skeleton.png
Rise from the Grave,black,2,,m19,uncommon,,,,,"This is one way to make a Zombie, I suppose. I never prioritize this, but it can be a decent 5-drop in a deck with great creatures or great removal (ideally both).",https://raw.githubusercontent.com/jakobmattsson/mtg-cards/master/images/m19/Rise from the Grave.png
Skeleton Archer,black,3,,m19,common,,removal,face,,"Much like in most videogames, Skeleton Archer isn't the weakest minion but it isn't the best either. It's annoying to face and definitely has its high points, while also being quite killable. I like this card, and would run as many as I could get.",https://raw.githubusercontent.com/jakobmattsson/mtg-cards/master/images/m19/Skeleton Archer.png
Skymarch Bloodletter,black,3,,m19,common,,,face,,"Skymarch Bloodletter loses a little ground from Ixalan, given that Vampires are no longer a supported tribe and the format is a little slower, but it's still a solid playable that will make your deck every time. Plus, the life gain deck is a thing, so it's not all bad news.",https://raw.githubusercontent.com/jakobmattsson/mtg-cards/master/images/m19/Skymarch Bloodletter.png
Sovereign's Bite,black,1,,m19,common,,,face,,"I'd have to have a lot of life gain synergies before I took a bite of this apple, and I suspect it won't happen very often (if at all).",https://raw.githubusercontent.com/jakobmattsson/mtg-cards/master/images/m19/Sovereign's Bite.png
Stitcher's Supplier,black,1,,m19,uncommon,,,,,"If the creature type Zombie matters a ton and you have graveyard synergies, stock up. Otherwise, this should be avoided at all costs.",https://raw.githubusercontent.com/jakobmattsson/mtg-cards/master/images/m19/Stitcher's Supplier.png
Strangling Spores,black,3,,m19,common,instant,removal,,,"You can snap off 3 toughness creatures or use this in combat to kill larger things, both of which are desirable effects for 4 mana. This is good, clean removal, which is always something you're choked on in Limited.",https://raw.githubusercontent.com/jakobmattsson/mtg-cards/master/images/m19/Strangling Spores.png
Two-Headed Zombie,black,2.5,,m19,common,,,,,"Do they eat double the brains of a normal Zombie or just each get half as much? Either way, this is a good aggressive card and a playable Zombie, both of which you may be interested in.",https://raw.githubusercontent.com/jakobmattsson/mtg-cards/master/images/m19/Two-Headed Zombie.png
Vampire Neonate,black,1,,m19,common,,,,,"This looks like a card people are going to want to play, but I'm not giving up that easily-unless your opponent has a lot of 2 power creatures and you have life gain synergies, this shouldn't be in your deck. It just doesn't do enough to justify the card slot.",https://raw.githubusercontent.com/jakobmattsson/mtg-cards/master/images/m19/Vampire Neonate.png
Vampire Sovereign,black,3.5,,m19,uncommon,,,face,,"A 3/4 flyer that drains for 3, on the other hand, is something I'm definitely in for. This is an evasive threat with a strong ETB ability, which is a recipe for success in Limited.",https://raw.githubusercontent.com/jakobmattsson/mtg-cards/master/images/m19/Vampire Sovereign.png
Walking Corpse,black,2,,m19,common,,,,,"This mostly gets there on curve considerations, but it may also get there on creature type from time to time. Either way, don't be worried if this makes the cut.",https://raw.githubusercontent.com/jakobmattsson/mtg-cards/master/images/m19/Walking Corpse.png
Act of Treason,red,1,3,m19,common,,,,,"This is one of the more interesting cards in the set. By itself, it's not great. It's a narrow card for hyper-aggressive decks, but generally wrong to run. It doesn't do much unless you're really pressuring their life total, and isn't worth a card in most circumstances. Where it gets good is when you're in the sacrifice deck, usually red-black, and have 3+ ways to sacrifice whatever you steal. Once you have that, this becomes extremely threatening, as it's Terminate plus deal damage to your opponent, and you even get the benefit of any death triggers their creature may have. I wouldn't take this early, but it's the most important payoff in the sacrifice deck, so once you're deep into that this becomes a very high pick.",https://raw.githubusercontent.com/jakobmattsson/mtg-cards/master/images/m19/Act of Treason.png
Alpine Moon,red,0,,m19,rare,,,,,This is wildly unplayable in formats where Urza's Tower doesn't exist.,https://raw.githubusercontent.com/jakobmattsson/mtg-cards/master/images/m19/Alpine Moon.png
Apex of Power,red,0,,m19,mythic,,,,,"Getting to 10 mana isn't realistic, even if this effect is insanely powerful.",https://raw.githubusercontent.com/jakobmattsson/mtg-cards/master/images/m19/Apex of Power.png
Banefire,red,4,,m19,rare,,removal,face,,"Banefire acts as a decent removal spell or a great finisher, and that flexibility is worth a lot. It's even easily splashable, and in a format with Salvager of Secrets, is a card I'm taking very highly.",https://raw.githubusercontent.com/jakobmattsson/mtg-cards/master/images/m19/Banefire.png
Boggart Brute,red,2.5,,m19,common,,,,,"Menace makes this trade up well and get past 2/1s easily, while also making any combat trick you may have particularly brutal. I'd always run this in aggressive decks, and it's fine even in midrange ones.",https://raw.githubusercontent.com/jakobmattsson/mtg-cards/master/images/m19/Boggart Brute.png
Catalyst Elemental,red,1,,m19,common,,,,,"I'm not really looking to spend a card ramping out a 6-drop early, and a 2/2 for 3 is unimpressive otherwise. You'd have to be really desperate to run this, and it'll rarely be rite to do so.",https://raw.githubusercontent.com/jakobmattsson/mtg-cards/master/images/m19/Catalyst Elemental.png
Crash Through,red,1,,m19,common,,,,,"There's a very light spells-matter theme in the set, so feel free to run this if you get extra benefit from it. Otherwise, it's not worth a slot in your deck, as trample is such a minor upside.",https://raw.githubusercontent.com/jakobmattsson/mtg-cards/master/images/m19/Crash Through.png
Dark-Dweller Oracle,red,3.5,,m19,rare,,,,,"I'm a fan of this. It is a 2/2 for 2 that has a lot of utility in the late-game, and can even replace itself if need be. Remember to always use this before playing a land, and if it's open, the sacrifice deck is the best place for this by far.",https://raw.githubusercontent.com/jakobmattsson/mtg-cards/master/images/m19/Dark-Dweller Oracle.png
Demanding Dragon,red,4.5,,m19,rare,,,face,,"It's hard to demand much more than this, as it's a 5/5 for 5 with solid upside. That's a bomb under any definition, and a card I'd be overjoyed to open.",https://raw.githubusercontent.com/jakobmattsson/mtg-cards/master/images/m19/Demanding Dragon.png
Dismissive Pyromancer,red,3.5,,m19,rare,,removal,,,"Like Dark-Dweller Oracle, this is good at any point in the game, and even lets you see extra cards in a similar fashion. Once you've rummaged to your heart's content, you can dismiss the Pyromancer in exchange for one of their creatures, making this a great card in any deck.",https://raw.githubusercontent.com/jakobmattsson/mtg-cards/master/images/m19/Dismissive Pyromancer.png
Doublecast,red,1,,m19,uncommon,,,,,"Despite getting to Twincast Mind Sculpt and Divination in one of my favorite Draft videos (which has been lost to the sands of time), I'm not all that excited for Doublecast. It requires you to have a lot of good, cheap spells, and the upside isn't as big as the risk of it being stuck in hand. If you do have 9+ other spells and at least 4 of them are cheap removal, this is likely worth it, but that isn't the typical use case.",https://raw.githubusercontent.com/jakobmattsson/mtg-cards/master/images/m19/Doublecast.png
Dragon Egg,red,1.5,3,m19,uncommon,,,,,"This is a goose egg in an aggressive deck, playable but mediocre in a defensive one, and an all-star in the sacrifice-themed deck. Eating this for value gives you a very good flyer and whatever you got from sacrificing it, which is a great deal for 3 mana. One of the main strengths of the sacrifice deck is that you get a lot of value from cards other people don't want, and Dragon Egg is a great example of that.",https://raw.githubusercontent.com/jakobmattsson/mtg-cards/master/images/m19/Dragon Egg.png
Electrify,red,3.5,,m19,common,instant,removal,,,"Shockingly, this is a piece of great removal. It kills almost anything you want, at instant speed, and doesn't cost a ton. There are a million different burn spells in this set, and most of them are good-this is one of them.",https://raw.githubusercontent.com/jakobmattsson/mtg-cards/master/images/m19/Electrify.png
Fiery Finish,red,2,,m19,uncommon,,removal,,,"Realistically, you aren't cutting this most of the time, but it's not a card I'm excited about. Paying 6 mana at sorcery speed is fine-you do need a way to finish off big creatures.",https://raw.githubusercontent.com/jakobmattsson/mtg-cards/master/images/m19/Fiery Finish.png
Fire Elemental,red,1.5,,m19,common,,,,,"I suspect that you'll play this a little more often than you did in Dominaria. It's not great, but it sure has some stats.",https://raw.githubusercontent.com/jakobmattsson/mtg-cards/master/images/m19/Fire Elemental.png
Goblin Instigator,red,3,,m19,common,,,,,"This plays nicely with token and sacrifice themes, while also providing a fine pair of blockers for a more controlling deck. Cards like this punish 1 toughness attackers really well, so keep that in mind when looking at 2/1 ground creatures for your aggro deck.",https://raw.githubusercontent.com/jakobmattsson/mtg-cards/master/images/m19/Goblin Instigator.png
Goblin Motivator,red,1,,m19,common,,,,,"Bloodlust Inciter ended up being a solid 2.0 in Amonkhet, but that was largely due to the speed of the format. I still don't like this in most formats/decks, and I'm not feeling very motivated to play it here. You'd need a really aggressive deck that also had use for 1/1s, so perhaps an aggro sacrifice deck might want this. Either way, you will be able to get this late.",https://raw.githubusercontent.com/jakobmattsson/mtg-cards/master/images/m19/Goblin Motivator.png
Goblin Trashmaster,red,2,,m19,rare,,,,,"With two good common Goblins (and a less motivational one), plus a couple of uncommons, the Trashmaster is a solid pick. I wouldn't slam it early, but it isn't trash either-most red decks won't mind running this. Plus, every now and then you'll snipe an artifact with the second ability.",https://raw.githubusercontent.com/jakobmattsson/mtg-cards/master/images/m19/Goblin Trashmaster.png
Guttersnipe,red,1,3,m19,uncommon,,,,,"Once you've got 9+ spells in your deck, Guttersnipe is a legit threat. It's not an early pick, but I bet blue-red spells decks wouldn't mind using this as a decent finisher.",https://raw.githubusercontent.com/jakobmattsson/mtg-cards/master/images/m19/Guttersnipe.png
Havoc Devils,red,3,,m19,common,,,,,"These have good stats and a relevant keyword. For red, that's pretty good, as red creatures tend to be pretty medium. Even with the RR casting cost, I don't think red decks will be in the business of cutting Havoc Devils (unless they are the defensive spell-based version).",https://raw.githubusercontent.com/jakobmattsson/mtg-cards/master/images/m19/Havoc Devils.png
Hostile Minotaur,red,2.5,,m19,common,,,,,"I wouldn't call this amazing, but it's better than average in beatdown decks. Curving into Hostile Minotaur pressures the opponent a lot, and it's able to close games out reasonable well. Between this and Havoc Devils, red has some good options at 4, which funnily enough makes either of these less of a priority to pick up.",https://raw.githubusercontent.com/jakobmattsson/mtg-cards/master/images/m19/Hostile Minotaur.png
Inferno Hellion,red,2,,m19,uncommon,,,,,"At the very least, Inferno Hellion hits hard. If you want to attack the opponent, this is decent 4-drop, and it combines nicely with bounce spells. Your opponent will often just take the hit, after which you bounce and replay it. In a pinch, this can block, but I'm not all that excited about doing that.",https://raw.githubusercontent.com/jakobmattsson/mtg-cards/master/images/m19/Inferno Hellion.png
"Lathliss, Dragon Queen",red,4,,m19,rare,,,,,"Lathliss is essentially a 5/5 flyer for 6 with minor upside, but Dragons are Dragons, and this can close out games nicely. I'm not in the business of passing up on huge flying finishers, even if you aren't getting max value from all her tribal synergies (though, with Sparktongue Dragon at common, it's not impossible to imagine).","https://raw.githubusercontent.com/jakobmattsson/mtg-cards/master/images/m19/Lathliss, Dragon Queen.png"
Lava Axe,red,1,,m19,common,,,face,,"I don't think most red decks will want this as a way to end games. Creatures are great, and red isn't lacking for quality options at the top of the curve. I suppose a hyper aggro deck might want two of these as the only 5-drops, but that isn't where I'd start.",https://raw.githubusercontent.com/jakobmattsson/mtg-cards/master/images/m19/Lava Axe.png
Lightning Mare,red,2.5,,m19,uncommon,,,,,"This can breath enough lightning to take down bigger creatures or punch for extra damage, making it a good option for heavy red aggressive decks. It even will randomly run past blue creatures, which will be solid upside in some matchups.",https://raw.githubusercontent.com/jakobmattsson/mtg-cards/master/images/m19/Lightning Mare.png
Lightning Strike,red,3.5,,m19,uncommon,instant,removal,,,"This is, and has always been, an excellent deal. It doesn't quite crack 4.0, and is better than Electrify, so it probably deserves a 3.5. Lightning Strike efficiently kills most creatures, and can even dome the opponent if the game gets to that point.",https://raw.githubusercontent.com/jakobmattsson/mtg-cards/master/images/m19/Lightning Strike.png
Onnake Ogre,red,1.5,,m19,common,,,,," The main problem with 4/2s is that they tend to trade down for 2-drops, so if you end up playing this, make sure that it's backed up by removal. It does hit hard, so it's playable if you need more bodies. Also, poor Gray Ogre-its Onakke cousins put it to shame at family reunions.",https://raw.githubusercontent.com/jakobmattsson/mtg-cards/master/images/m19/Onnake Ogre.png
"Sarkhan, Fireblood",red,1,,m19,mythic,,,,,"This trend of super-narrow planeswalkers is an interesting one. Opening Sarkhan isn't going to very exciting, unlike most planeswalkers across Magic's history, as you just won't have the Dragons you need to make this playable. Sarkhan acts like a bad looter, and that's not something I'm interested in.","https://raw.githubusercontent.com/jakobmattsson/mtg-cards/master/images/m19/Sarkhan, Fireblood.png"
Sarkhan's Unsealing,red,1,3,m19,rare,,,,,"You need a lot of high-power creatures for this to be playable, and the main risk is that you end up with a deck with too high a curve. Onnake Ogre is your best friend in that case, and the reward from Sarkhan's Unsealing is high enough to easily justify it. I like this as an early draft-around, and think it'll lead to some sweet (and good) decks.",https://raw.githubusercontent.com/jakobmattsson/mtg-cards/master/images/m19/Sarkhan's Unsealing.png
Shock,red,3.5,,m19,shock,instant,removal,face,,"Efficient removal never gets old, and you want a mix of these and Electrifies in most decks. There are some decks where this isn't the best, but every deck will have plenty of targets, and spending 1 mana to kill a 2- or 3-drop is very powerful.",https://raw.githubusercontent.com/jakobmattsson/mtg-cards/master/images/m19/Shock.png
Siegebreaker Giant,red,3,,m19,rare,,,,,"Cowards can't block giants, or much of anything, when this is in play. Siegebreaker Giant is an excellent drop for the top of your curve, and exactly what red decks want to sink their mana into. It also rewards combat tricks very nicely, as the opponent will be priced into blocking whenever they can, so draft with that in mind. I could see moving this up to a 3.5 if red decks want the finisher that badly.",https://raw.githubusercontent.com/jakobmattsson/mtg-cards/master/images/m19/Siegebreaker Giant.png
Smelt,red,0.5,,m19,common,instant,removal,,,"If you're dealt this last pick, make sure not to accidentally play it. It's not even a great sideboard card since there aren't that many artifacts, and some of them are Thopters.",https://raw.githubusercontent.com/jakobmattsson/mtg-cards/master/images/m19/Smelt.png
Sparktongue Dragon,red,3,,m19,common,,removal,,,"Now this is an exciting common. It'll mostly be a 3/3 flyer for 5, but red never gets that at common, and having a powerful mana sink at 8 is pretty sweet. This is a real payoff for ramping, and it single-wingedly makes red an appealing color to pair with ramp cards. I'm excited about what this might mean for the format, as it's a very impactful common to see show up.",https://raw.githubusercontent.com/jakobmattsson/mtg-cards/master/images/m19/Sparktongue Dragon.png
Spit Flame,red,3.5,,m19,rare,instant,removal,,,"It's not often that you'll buy this back, but Sparktongue Dragon helps, and at worst this is still a very good spell.",https://raw.githubusercontent.com/jakobmattsson/mtg-cards/master/images/m19/Spit Flame.png
Sure Strike,red,1.5,,m19,common,instant,,,,"Havoc Devils makes this a little better than it was before, and in any case it's a solid combat trick. You usually don't need to go after those aggressively, but also shouldn't feel bad if a couple end up in your deck.",https://raw.githubusercontent.com/jakobmattsson/mtg-cards/master/images/m19/Sure Strike.png
Tectonic Rift,red,1,,m19,uncommon,,,,,"Don't let the land destruction element fool you. This is a finisher, and you are rarely going to want to snap this off as a land destruction spell on turn 4. I'd rather just have Lava Axe or Act of Treason, but if you miss on all of those, this can close out games. It's also a fine sideboard card against board stalls or Gift of Paradise, even if it isn't earth-shaking.",https://raw.githubusercontent.com/jakobmattsson/mtg-cards/master/images/m19/Tectonic Rift.png
Thud,red,1.5,3,m19,uncommon,,removal,,,"At a base level, this isn't very good. 2-for-1'ing yourself to kill a creature isn't a good deal, and finishing the opponent with this is largely ambitious. Where it gets really good is when you have multiple copies of Act of Treason, at which point you've got a two card combo that makes an impact. It's still a 2-for-2, but they spent more mana on their side, and you turned late picks into premiere removal spells. This does combo kill with Inferno Hellion, so keep that in mind.",https://raw.githubusercontent.com/jakobmattsson/mtg-cards/master/images/m19/Thud.png
Tormenting Voice,red,1.5,,m19,common,,,,,"I never feel bad about playing Tormenting Voice, but it's never loudly awesome either. It gets a little better in the U/R Spells deck, but past that is about as replaceable as it gets. Spending 2 mana to move cardboard around isn't good in aggro, and isn't really a payoff for control.",https://raw.githubusercontent.com/jakobmattsson/mtg-cards/master/images/m19/Tormenting Voice.png
Trumpet Blast,red,1,2,m19,common,instant,,,,"Normal decks definitely don't want this, and it isn't insane unless you're on the mono-tokens plan. If you want this, you'll get it-having a Blast is easy to do in this format.",https://raw.githubusercontent.com/jakobmattsson/mtg-cards/master/images/m19/Trumpet Blast.png
Viashino Pyromancer,red,1.5,,m19,common,,,face,,"As far as 2/1s for 2 go, this is about the middle of the pack. Yes, it technically has an effect later in the game, but 2 damage isn't lighting the world on fire. I also don't like how many tokens and Doomed Dissenters there are running around, so I'm skeptical that 2/1s are where you want to be.",https://raw.githubusercontent.com/jakobmattsson/mtg-cards/master/images/m19/Viashino Pyromancer.png
Volcanic Dragon,red,3.5,,m19,uncommon,,,,,"Volcanic Dragon punches hard and fast, making it a desirable finisher for aggro or control alike. I'm happy taking this early, even if it's a touch below most of the burn spells (due to how I prioritize expensive cards, my reputation notwithstanding).",https://raw.githubusercontent.com/jakobmattsson/mtg-cards/master/images/m19/Volcanic Dragon.png
Volley Veteran,red,3,,m19,uncommon,,removal,,,"The floor on this is pretty high-it always pings for 1 (barring the opponent removing it in response to the trigger). That makes it playable even as the lone Goblin, and it isn't hard to pick up a couple more and threaten to deal 2-3 damage. That is an awesome card, and Volley Veteran is a real reason to draft Goblins.",https://raw.githubusercontent.com/jakobmattsson/mtg-cards/master/images/m19/Volley Veteran.png
Blanchwood Armor,green,1.5,3,m19,uncommon,,,,,"Blanchwood Armor is a funny card-if it's great, your deck probably isn't, because mono-green is unlikely to be a very supported archetype. You really need this to give +3/+3 or greater in order for it to be playable, and +5/+5 or more before it starts feeling unfair. That makes it medium in most decks, though when it's good, it will be very good.",https://raw.githubusercontent.com/jakobmattsson/mtg-cards/master/images/m19/Blanchwood Armor.png
Bristling Boar,green,2.5,,m19,common,,,,,"I like reverse menace-it makes it hard for your opponents to take down your creatures and lets you attack without fear into boards of small creatures. Green is flush with solid bodies, so this isn't a card you need to prioritize, but it's a little better than a boaring vanilla.",https://raw.githubusercontent.com/jakobmattsson/mtg-cards/master/images/m19/Bristling Boar.png
Centaur Courser,green,3,,m19,common,,,,,"In normal Limited formats, 3/3s for 3 are always a welcome sight. Harrier Naga ended up being mediocre, thanks to how powerful and slow Hour of Devastation was, but I suspect that a core set won't be quite that extreme. If the format ends up being very slow, this could drop to a 2.0, but I'd much rather start it at 3.0 and adjust from there.",https://raw.githubusercontent.com/jakobmattsson/mtg-cards/master/images/m19/Centaur Courser.png
