lowScore,review,number,title,set,color,rarity,instant,removal,face,fixing,imageUrl
5.4,"Both halves of this are cards I'd gladly add to my deck, so getting them both is a fantastic deal. I'd take this early and be happy with it, and it's even splashable. You can play this in an aggressive Izzet or Selesnya deck as a +2/+2 pump spell, and as long as you have 1-2 sources of the other color you will sometimes get to cast Lightning Helix.",227,Integrity // Intervention,drn,red-white,uncommon,instant,removal,face,,https://raw.githubusercontent.com/jakobmattsson/mtg-cards/master/images/grn/Integrity -- Intervention.png
5.3,"Once you have this, Healer's Hawk becomes a lot more appealing. A 2/2 first strike for 2 is good on its own, so don't worry too much if you don't have many mentor targets (though do try and pick up a couple).",26,Sunhome Stalwart,drn,white,uncommon,,,,,https://raw.githubusercontent.com/jakobmattsson/mtg-cards/master/images/grn/Sunhome Stalwart.png
5.3,"It's nice for Izzet that their hybrid common is a blank in Boros and not all that appealing in Dimir, as nobody else is likely to take it. Piston-Fist Cyclops attacks for a lot of damage, and does so on the very turns you are going to have an opening, thanks to cards like Sonic Assault and Maximize Altitude.",217,Piston-Fist Cyclops,drn,blue-red,common,,,,,https://raw.githubusercontent.com/jakobmattsson/mtg-cards/master/images/grn/Piston-Fist Cyclops.png
5.3,"When this is good, it's amazing. In a swarm deck, getting +4/+4 or more is quite doable, and that's a really great deal. Many decks won't want to play it, so this almost reaches build-around levels of rating, but not quite. I'd only look to play this with 16+ creatures and a low curve, ideally with some token-making thrown in for good measure.",137,Might of the Masses,drn,green,uncommon,instant,,,,https://raw.githubusercontent.com/jakobmattsson/mtg-cards/master/images/grn/Might of the Masses.png
5.3,"Half of this card being Preordain makes me pretty happy running it, especially with all of the cards that trigger off surveil. The other half being a great bounce spell (with a discard kicker) makes me all the happier.",223,Discovery // Dispersal,drn,blue-black,uncommon,instant,,,,https://raw.githubusercontent.com/jakobmattsson/mtg-cards/master/images/grn/Discovery -- Dispersal.png
5.3,"There's nothing hypothetical about my love for this card. It's a card draw spell that also impacts the board-think of it as a 5-mana Divination that draws you a 0-mana deal 4. That's a very good deal, even if you have to discard an actual card instead of just a land. Note that this doesn't target when you initially cast it, and only does once you've discarded a nonland card (thanks to some rules trickery I won't go into). I really like this card, and think it's quite powerful. Any Izzet deck will want multiple copies, and I bet it's worth splashing in Dimir sometimes.",178,Hypothesizzle,drn,blue+red,common,instant,removal,,,https://raw.githubusercontent.com/jakobmattsson/mtg-cards/master/images/grn/Hypothesizzle.png
5.3,"I'm a fan of Boros flunkies here, as the deck isn't designed to go solo to begin with. Bodyguard is an actual burly mentor creature, and is exactly what this deck wants to play on turn 3.",120,Wojek Bodyguard,drn,red,common,,,,,https://raw.githubusercontent.com/jakobmattsson/mtg-cards/master/images/grn/Wojek Bodyguard.png
5.3,"I'm more than happy seeing this at uncommon. Pegasus Courser at common every set was getting to be a bit much, and having a break from that is welcome. The card is great, and completely changes how white decks play out, giving them good offense at any stage in the game. It even gets better with mentor, both in receiving counters and giving your fragile mentor creatures evasion.",24,Roc Charger,drn,white,uncommon,,,,,https://raw.githubusercontent.com/jakobmattsson/mtg-cards/master/images/grn/Roc Charger.png
5.3,"This may not look that great, but a ton of the power is hidden in the fact that it's basically a tapped land that cycles. That's a hugely powerful ability, even if the 6-mana side isn't very efficient. In a G/W deck, the first one of these is something you can straight-up cut a land for, as any 1-land hand plus this fixes you nicely. I don't like this at all in a deck that isn't Selesnya, as this is not one of the hybrid cards you want to splash.",226,Flower // Flourish,drn,green-white,uncommon,,,,fixing,https://raw.githubusercontent.com/jakobmattsson/mtg-cards/master/images/grn/Flower -- Flourish.png
5.3,"I'm pretty high on Findbroker. Golgari is already interested in self-mill, between surveil cards and things like Glowspore Shaman, making this ability much more than just draw a card. It also has a good stats-to-cost ratio, making it both card advantage and tempo advantage. I'm all over this, and even the difficult mana cost doesn't give me pause.",175,Golgari Findbroker,drn,black+green,uncommon,,,,,https://raw.githubusercontent.com/jakobmattsson/mtg-cards/master/images/grn/Golgari Findbroker.png
5.3,"Sonic Assault encapsulates what Izzet is trying to do more than any other card. Jump-start could have been a controlling mechanic but this card file makes it a very aggressive one, and tapping down multiple creatures while dealing incidental damage is exactly what Izzet is in for. You can use this across two turns to push through repeated damage or save it up for one big turn, and either way it does its job very well. Sonic Assault is great in aggressive decks and mediocre otherwise, so ensure that you're attacking to get full value here.",199,Sonic Assault,drn,blue+red,common,instant,,face,,https://raw.githubusercontent.com/jakobmattsson/mtg-cards/master/images/grn/Sonic Assault.png
5.3,"In a deck with just a couple gold spells, this is playable, and once you hit 5+ it becomes a respectable threat. At 4/4 or greater, it truly does begin to rampage, and it's not hard to imagine this just going ham.",239,Rampaging Monument,drn,artifact,uncommon,,,,,https://raw.githubusercontent.com/jakobmattsson/mtg-cards/master/images/grn/Rampaging Monument.png
5.3,"In a deck with three or more gold creatures, I'd play this, and once you are at five or more I'd definitely be happy doing so. It's a little clunky, but the payoff of having your land produce +1/+1 counters is real.",250,Guildmages' Forum,drn,land,rare,,,,fixing,https://raw.githubusercontent.com/jakobmattsson/mtg-cards/master/images/grn/Guildmages' Forum.png
5.2,"I loved me a Civic Wayfinder, and now this gets Gates too. That makes it an easy early pick, as it leaves you open to painting with all of the colors of the wind. I'm sad it's uncommon, but I get that it might make things too easy if it were common.",128,District Guide,drn,green,uncommon,,,,fixing,https://raw.githubusercontent.com/jakobmattsson/mtg-cards/master/images/grn/District Guide.png
5.2,"This is the Guildmage where the tap symbol hurts the most, as you're giving up a 3 power menace creature when you use the ability. Still, this works when you're behind or ahead, and is great on stalled boards, making it a good deal for just 2 mana.",201,Swarm Guildmage,drn,black+green,uncommon,,,,,https://raw.githubusercontent.com/jakobmattsson/mtg-cards/master/images/grn/Swarm Guildmage.png
5.2,"This is closer to a 3.5 than you might think, because Izzet is aggressive enough to want all the different parts of the card. Being a 2-drop is important, and Izzet is very much into big double-spell turns, where you do something like Sonic Assault twice and smash for 8. I still think it lands where I rated it, but don't sleep on Electromancer-it's much better than it was in RtR, and it wasn't bad there.",174,Goblin Electromancer,drn,blue+red,common,,,,,https://raw.githubusercontent.com/jakobmattsson/mtg-cards/master/images/grn/Goblin Electromancer.png
5.2,"This card wasn't quite priced to move, but it's great anyway. It can kill two small creatures or one large one, all at the cost of an extra land or useless card. This also can go to the face, so keep that in mind when deciding how aggressively you should chump block.",96,Direct Current,drn,red,common,,removal,,,https://raw.githubusercontent.com/jakobmattsson/mtg-cards/master/images/grn/Direct Current.png
5.2,,259,Watery Grave,drn,land,rare,,,,fixing,https://raw.githubusercontent.com/jakobmattsson/mtg-cards/master/images/grn/Watery Grave.png
5.2,"This is the meat and potatoes of Selesnya, though now that I say that, I think they don't eat meat? The Boca Burger and potatoes, or are they off gluten too? In any case, Rosemane Centaur is a great payoff, as you can cast it for 4 mana and feel good, while any cheaper makes you feel awesome. This also shows you that Selesnya is about smashing with large creatures on curve, rather than going wide with tokens, as Rosemane Centaurs and Siege Wurms come out slightly ahead of schedule rather than super early.",197,Rosemane Centaur,drn,green+white,common,,,,,https://raw.githubusercontent.com/jakobmattsson/mtg-cards/master/images/grn/Rosemane Centaur.png
5.2,"A 4/4 for 6 is slightly smaller than I'd like, but getting a free fight with the deal makes this pretty good. Note that you target what you want to fight, and if the opponent plays a pump spell in response, you can decline to fight. It's a quirk of the templating, and gives you a pretty big advantage in spots like that.",121,Affectionate Indrik,drn,green,uncommon,,removal,,,https://raw.githubusercontent.com/jakobmattsson/mtg-cards/master/images/grn/Affectionate Indrik.png
5.2,"I'm shocked this is a common-I read the text before looking at the rarity, and I'd have guessed uncommon, then rare, then common. That may be a clue as to how strong this is, though the complexity is part of the reason I'd have guessed a higher rarity. This is easy to enable, and very good with instant-speed surveil. There's enough surveil that I wouldn't call this a build-around, as it's more just a great Dimir card.",164,Darkblade Agent,drn,blue+black,common,,,,,https://raw.githubusercontent.com/jakobmattsson/mtg-cards/master/images/grn/Darkblade Agent.png
5.2,"Shock and Shatter on a stick is a good deal, especially when that stick is a 2/2 for 2 that can attack and block early in the game. I'd play this in any deck, and would take it early to boot. The flexibility and efficiency have me sold, though it would read better if it just said ""artifact"" for the second ability (I know, I know, Eldrazi in older formats makes it relevant).",103,Goblin Cratermaker,drn,red,uncommon,,removal,,,https://raw.githubusercontent.com/jakobmattsson/mtg-cards/master/images/grn/Goblin Cratermaker.png
5.2,,257,Steam Vents,drn,land,rare,,,,fixing,https://raw.githubusercontent.com/jakobmattsson/mtg-cards/master/images/grn/Steam Vents.png
5.2,"This is my least-favorite Guildmage, but it's still a Guildmage. A 2/2 for 2 with relevant late game abilities (or ability, as the green one kind of sucks) is a solid deal. Plus, every now and then you'll give a Worldsoul Colossus trample and feel very smart.",162,Conclave Guildmage,drn,green+white,uncommon,,,,,https://raw.githubusercontent.com/jakobmattsson/mtg-cards/master/images/grn/Conclave Guildmage.png
5.2,"It's no secret that this is a rock-solid playable, and one that I expect to show up in Izzet and Golgari as well. It's just two good abilities on a reasonably-costed creature, which is a great distribution of power. This will trade for something easily, sneak in for 3 damage when the opponent doesn't expect it, and give you card selection to boot.",220,Whisper Agent,drn,blue-black,common,instant,,,,https://raw.githubusercontent.com/jakobmattsson/mtg-cards/master/images/grn/Whisper Agent.png
5.2,"I like this in an aggressive Boros deck. It attacks for real damage, and often will trade with something while giving you a +1/+1 counter for your troubles. Remember to pump this before attacks if you have something to mentor on to, as it won't even trigger if there aren't any legal targets.",102,Goblin Banneret,drn,red,uncommon,,,,,https://raw.githubusercontent.com/jakobmattsson/mtg-cards/master/images/grn/Goblin Banneret.png
5.2,"Boros may not be first in line for a sweeper, but this is good when behind or when racing, which is enough for me. Boros also has enough mentor that you can realistically build some creatures to survive this, making it a game plan in and of itself.",165,Deafening Clarion,drn,red+white,rare,,removal,,,https://raw.githubusercontent.com/jakobmattsson/mtg-cards/master/images/grn/Deafening Clarion.png
5.2,,254,Sacred Foundry,drn,land,rare,,,,fixing,https://raw.githubusercontent.com/jakobmattsson/mtg-cards/master/images/grn/Sacred Foundry.png
5.2,"This is the kind of undergrowth card worth sticking to-by the time you can cast it, you'll naturally have a fair amount of creatures in the graveyard, and it's got solid stats and reach for the cost. Having a Hatchery Spider would bias me towards wanting green creatures, but you don't have to go overboard-this is pretty good even if it whiffs a bunch of the time.",132,Hatchery Spider,drn,green,rare,,,,,https://raw.githubusercontent.com/jakobmattsson/mtg-cards/master/images/grn/Hatchery Spider.png
5.2,"I love Dimir Informant. A solid defensive body plus card selection makes this a highly desirable 3-drop for every deck that isn't completely aggressive. This works well without any surveil synergies, and gets even better once you add those. Don't sleep on this one-it won't go late in packs.",36,Dimir Informant,drn,blue,common,,,,,https://raw.githubusercontent.com/jakobmattsson/mtg-cards/master/images/grn/Dimir Informant.png
5.2,"I expect more out of my gold 2-drops, and unless you're casting Quasiduplicate, you aren't getting insane value here. Copying a Maximize Altitude is decent, but not busted, so this is more of a curve-filler for aggressive Izzet decks than a build-around.",155,Beamsplitter Mage,drn,blue+red,uncommon,,,,,https://raw.githubusercontent.com/jakobmattsson/mtg-cards/master/images/grn/Beamsplitter Mage.png
5.2,"If you are 2 colors, I'd take Guildgates reasonably high, over most commons of the same level (especially once you have enough playables). If you have any of the uncommon cycle that costs AABB, these go up a notch, and once you're 3+ colors they definitely go up. In general, most people probably take these too low, so it's possible you should think of them as a 3.25, if that helps.",245,Dimir Guildgate,drn,land,common,,,,fixing,https://raw.githubusercontent.com/jakobmattsson/mtg-cards/master/images/grn/Dimir Guildgate (a).png
5.2,"If you are 2 colors, I'd take Guildgates reasonably high, over most commons of the same level (especially once you have enough playables). If you have any of the uncommon cycle that costs AABB, these go up a notch, and once you're 3+ colors they definitely go up. In general, most people probably take these too low, so it's possible you should think of them as a 3.25, if that helps.",251,Izzet Guildgate,drn,land,common,,,,fixing,https://raw.githubusercontent.com/jakobmattsson/mtg-cards/master/images/grn/Izzet Guildgate (a).png
5.2,"I'm a fan of taking risks in aggro decks, and this is a great place to do so. If your offense isn't performing, this does basically nothing, but if you are pressuring the opponent, this puts them between a rock and a hard place. Often you're going to get 4 damage from the first cast and three cards off of the jump-start, making this a great deal.",113,Risk Factor,drn,red,rare,instant,,face,,https://raw.githubusercontent.com/jakobmattsson/mtg-cards/master/images/grn/Risk Factor.png
5.2,,258,Temple Garden,drn,land,rare,,,,fixing,https://raw.githubusercontent.com/jakobmattsson/mtg-cards/master/images/grn/Temple Garden.png
5.2,,253,Overgrown Tomb,drn,land,rare,,,,fixing,https://raw.githubusercontent.com/jakobmattsson/mtg-cards/master/images/grn/Overgrown Tomb.png
5.1,"Inspiring Unicorn is a fierce attacker, and even benefits from its own ability-that's perfect for any deck looking to go wide, and good even without a token theme.",16,Inspiring Unicorn,drn,white,uncommon,,,,,https://raw.githubusercontent.com/jakobmattsson/mtg-cards/master/images/grn/Inspiring Unicorn.png
5.1,"There's a lot going on with this 2-drop, and I suspect that it will be one of the better (and few) undergrowth enablers. First of all, it mills 3 and is a 3/1, so it can get 1-2 creatures into your bin fairly soon, which is perfect when you're trying to aim for a 4/4 Rhizome Lurcher on turn 4. It also can help you hit your third land drop, albeit at the cost of a draw step. That's a good little package, and Glowspore Shaman is going to be solid in any Golgari deck. Even without a big undergrowth theme, a 3/1 for 2 that gives you mana screw insurance is a fine pickup.",173,Glowspore Shaman,drn,black+green,uncommon,,,,,https://raw.githubusercontent.com/jakobmattsson/mtg-cards/master/images/grn/Glowspore Shaman.png
5.1,"Not only is this easy to cast, it also attacks nicely and really benefits from mentoring. Boros decks need 2-drops to survive, and this is one of the better ones. I also like that it only has first strike on your turn-that's a marked improvement to having it always, as it doesn't gum up the ground or make attacks too difficult for the opponent. In fact, I could see a new keyword that does just that playing quite well.",216,Fresh-Faced Recruit,drn,red-white,common,,,,,https://raw.githubusercontent.com/jakobmattsson/mtg-cards/master/images/grn/Fresh-Faced Recruit.png
5.1,"If you are 2 colors, I'd take Guildgates reasonably high, over most commons of the same level (especially once you have enough playables). If you have any of the uncommon cycle that costs AABB, these go up a notch, and once you're 3+ colors they definitely go up. In general, most people probably take these too low, so it's possible you should think of them as a 3.25, if that helps.",243,Boros Guildgate,drn,land,common,,,,fixing,https://raw.githubusercontent.com/jakobmattsson/mtg-cards/master/images/grn/Boros Guildgate (a).png
5.1,"As one of the common payoffs for undergrowth, Rhizome Lurcher is solid. You just need two creatures to have died for this to be above rate, and any more than that puts you well ahead of the game. That seems doable, even if undergrowth isn't fantastically well-supported, and Rhizome Lurcher is a bright spot (of mold) for Golgari decks.",196,Rhizome Lurcher,drn,black+green,common,,,,,https://raw.githubusercontent.com/jakobmattsson/mtg-cards/master/images/grn/Rhizome Lurcher.png
5.1,"Make it rain! I like Read the Bones, and this is just better, due to surveil and graveyard synergies. It is a little awkward that your Divination requires both of your colors, as I always like it for extra fixing, but this is powerful enough that I'm not overly hung up on it.",193,Notion Rain,drn,blue+black,common,,,,,https://raw.githubusercontent.com/jakobmattsson/mtg-cards/master/images/grn/Notion Rain.png
5.1,"If you are 2 colors, I'd take Guildgates reasonably high, over most commons of the same level (especially once you have enough playables). If you have any of the uncommon cycle that costs AABB, these go up a notch, and once you're 3+ colors they definitely go up. In general, most people probably take these too low, so it's possible you should think of them as a 3.25, if that helps.",255,Selesnya Guildgate,drn,land,common,,,,fixing,https://raw.githubusercontent.com/jakobmattsson/mtg-cards/master/images/grn/Selesnya Guildgate (a).png
5.0,"This is a 2/2 for 2 with options, and that's worth shelling out for. Making a critical creature big enough to be relevant is a good ability, and the 1/1 this leaves behind can fuel both convoke and undergrowth nicely. Aggro decks will want this as a curve-filler, and midrange/control will sometimes play it if they lack early action.",134,Ironshell Beetle,drn,green,common,,,,,https://raw.githubusercontent.com/jakobmattsson/mtg-cards/master/images/grn/Ironshell Beetle.png
5.0,"There's enough surveil in the format that this will basically always be good in Dimir, and can sometimes even be great. If you're Golgari, it drops off some, but once you have 3-4 surveil cards and a need for early defense, this is worth including.",90,Whispering Snitch,drn,black,uncommon,,,,,https://raw.githubusercontent.com/jakobmattsson/mtg-cards/master/images/grn/Whispering Snitch.png
5.0,"I'm not always the highest on discard in Limited, but this is efficient enough that I'm interested. It strips them of their best threat, and even lets you surveil 1, meaning it's never completely dead.",206,Thought Erasure,drn,blue+black,uncommon,,,,,https://raw.githubusercontent.com/jakobmattsson/mtg-cards/master/images/grn/Thought Erasure.png
5.0,"A real radical idea would be this costing 1 mana, but it's probably for the best that it didn't. I'd only run this if I had a heavy spells-matter theme, as paying 4 mana to draw two and discard one isn't a great deal.",52,Radical Idea,drn,blue,common,instant,,,,https://raw.githubusercontent.com/jakobmattsson/mtg-cards/master/images/grn/Radical Idea.png
5.0,"Attaching a face-only Shock to Cancel is more exciting in Constructed than Limited, but counterspells tend to be better in Constructed to begin with (the plays the opponent makes tend to be more scripted, so it's easier to anticipate and leave up mana on critical turns). I'd run this in most Izzet decks, but it's not a high priority, and certainly not a busted rare.",179,Ionize,drn,blue+red,rare,instant,,face,,https://raw.githubusercontent.com/jakobmattsson/mtg-cards/master/images/grn/Ionize.png
5.0,"This card is a lot more appealing. It still doesn't do a ton early, but having a 1 mana removal spell on turn 5 or 6 is still great, and if worse comes to worst this can be used as a combat trick if it's only giving -1/-1 or -2/-2.",79,Necrotic Wound,drn,black,uncommon,instant,removal,,,https://raw.githubusercontent.com/jakobmattsson/mtg-cards/master/images/grn/Necrotic Wound.png
5.0,"Against all of the guilds except Boros, countering a spell for 3 mana is decent, and the addition of surveil makes this a great value proposition. Cancel is usually slightly below the bar-add a surveil and all of a sudden it's above it.",54,Sinister Sabotage,drn,blue,uncommon,instant,,,,https://raw.githubusercontent.com/jakobmattsson/mtg-cards/master/images/grn/Sinister Sabotage.png
5.0,"One of the best on-board tricks from Innistrad returns here in Ravnica, though this name is not nearly as funny to me as Ashmouth Hound was. This is a dorky 2/1, though it holds its own against 1-toughness creatures, so it will have moments of greatness.",112,Ornery Goblin,drn,red,common,,,,,https://raw.githubusercontent.com/jakobmattsson/mtg-cards/master/images/grn/Ornery Goblin.png
5.0,"Golgari isn't normally in the market for pump spells, but this certainly changes the equation. If you give this +3/+3, it can potentially take out four creatures, and even without the dream setup, taking out two or three is realistic. By itself, it also acts as targeted removal, with the only thing it can't kill being flyers that already got to attack (it can block ground creatures or kill any untapped flyer). It also makes it so the rest of your squad gets through, and all that added together is a lot of action for a 3 mana card.",194,Ochran Assassin,drn,black+green,uncommon,,,,,https://raw.githubusercontent.com/jakobmattsson/mtg-cards/master/images/grn/Ochran Assassin.png
5.0,"Cantrip creatures are my muse, and this is a card I won't often be cutting from my deck. A 1/3 flyer is exactly what you want to keep you alive while you reap the benefits of extra cards, and this is an attractive piece of any blue control deck.",46,Muse Drake,drn,blue,common,,,,,https://raw.githubusercontent.com/jakobmattsson/mtg-cards/master/images/grn/Muse Drake.png
5.0,"Being an instant goes a long way-we'd play it no matter what, but at least now it's got some flexibility to it. I'd rather have this in my 5-drop spot than almost any creature, so I'm fine taking this one early. Plus, as with any color that touches Izzet, spells have a slight bonus thanks to the various cards that care about them.",94,Command the Storm,drn,red,common,instant,removal,,,https://raw.githubusercontent.com/jakobmattsson/mtg-cards/master/images/grn/Command the Storm.png
5.0,"I'm fine paying 4 mana for this effect, even if it leaves you vulnerable to bounce or enchantment removal down the line. Blue doesn't usually do much better, at least not at common.",31,Capture Sphere,drn,blue,common,instant,removal,,,https://raw.githubusercontent.com/jakobmattsson/mtg-cards/master/images/grn/Capture Sphere.png
5.0,"In a heavy spells deck, this fulfills the role of defender and of finisher, all in one. I'm still a little skeptical of 0/X defenders in a land of mentor, but repeatable, unblockable damage is a nice thing to have on a 2-drop. This is no Thermo-Alchemist, as it doesn't get a free point of damage every turn as a baseline, which is what's keeping it from being a 3.0.",97,Electrostatic Field,drn,red,uncommon,,,,,https://raw.githubusercontent.com/jakobmattsson/mtg-cards/master/images/grn/Electrostatic Field.png
5.0,"The ability on this doesn't have any targets below rare (I guess commons and uncommons don't bring a big enough bounty), so this is mostly just a 2/2 vigilance for 2. That's playable in the right beatdown deck, so that's where the rating comes from.",2,Bounty Agent,drn,white,rare,,removal,,,https://raw.githubusercontent.com/jakobmattsson/mtg-cards/master/images/grn/Bounty Agent.png
5.0,"There are a lot of better 2-drops available, but this does fill out a curve if you need that. Vigilance isn't great on a 2/2, as it rarely gets into combat (or survives it), but this sure does tap to convoke things.",219,Vernadi Shieldmate,drn,green-white,common,,,,,https://raw.githubusercontent.com/jakobmattsson/mtg-cards/master/images/grn/Vernadi Shieldmate.png
5.0,"I like a minor defender build-around, even if most of the defenders are kind of dorky. In a control deck, getting to cycle your early defense once you don't need it anymore is a valuable ability, so I'd play this even without other defenders.",142,Portcullis Vine,drn,green,common,,,,,https://raw.githubusercontent.com/jakobmattsson/mtg-cards/master/images/grn/Portcullis Vine.png
5.0,"Citywatch Sphinx is a large flyer that gives you a nice severance package when it dies. There's nothing wrong with this as your finisher, and requiring only a single blue mana makes it easy to splash as well.",33,Citywatch Sphinx,drn,blue,uncommon,,,,,https://raw.githubusercontent.com/jakobmattsson/mtg-cards/master/images/grn/Citywatch Sphinx.png
5.0,"All I've ever wanted from a 2-drop is that it's relevant late game, and this fits the bill. Early on, this attacks and trades just fine, and later you will have the mana to send it to the skies. This is an aggressive card, and a good one at that.",25,Skyline Scout,drn,white,common,,,,,https://raw.githubusercontent.com/jakobmattsson/mtg-cards/master/images/grn/Skyline Scout.png
5.0,"After playing with this, I can conclude it's basically a worse Siege Wurm. That said, it's still a Siege Wurm, and every Selesnya deck will be interested. Plus, sometimes it will come out as a 7/7 and be great.",215,Worldsoul Colossus,drn,green+white,uncommon,,,,,https://raw.githubusercontent.com/jakobmattsson/mtg-cards/master/images/grn/Worldsoul Colossus.png
5.0,"Siege Wurm loses a little luster without Scatter the Seeds or Triplicate Spirits, but it's still the convoke finisher of choice. Any heavy green deck should be interested, and decks with a low curve can make especially good use of the Wurm.",144,Siege Wurm,drn,green,common,,,,,https://raw.githubusercontent.com/jakobmattsson/mtg-cards/master/images/grn/Siege Wurm.png
5.0,"Ravenous Rats was a staple in every Limited format it appeared in, and I have no reason to believe this one will be different. It always trades for at least a card, and can often get you a few life in a chump block or keep an x/1 at bay. That's a great deal for 2 mana, and is especially nice in decks with undergrowth cards.",64,Burglar Rat,drn,black,common,,,,,https://raw.githubusercontent.com/jakobmattsson/mtg-cards/master/images/grn/Burglar Rat.png
5.0,"If you have enough creatures, this can serve as a solid combat trick. By itself it's card disadvantage, but if you can set up a fight between two creatures of equivalent size, this will dazzle your opponent nicely. Cheap surveil spells are also great with spells-matter and surveil-matters cards, of which both Izzet and Dimir have plenty.",34,Dazzling Lights,drn,blue,common,instant,,,,https://raw.githubusercontent.com/jakobmattsson/mtg-cards/master/images/grn/Dazzling Lights.png
5.0,"This card is confusing, narrow, and too expensive when it comes to the card draw part. I'd avoid including it, even if you do understand it. There is even errata, as Invert only lasts until the end of turn, which isn't stated on the card.",228,Invert // Invent,drn,blue-red,uncommon,instant,,,,https://raw.githubusercontent.com/jakobmattsson/mtg-cards/master/images/grn/Invert -- Invent.png
5.0,"Aggressive decks love this one weird trick, as it gets lethal through and picks off small creatures, all in one card. It may seem like the two abilities are contradictory, but that just offers more flexibility, making this a powerful common.",95,Cosmotronic Wave,drn,red,common,,removal,,,https://raw.githubusercontent.com/jakobmattsson/mtg-cards/master/images/grn/Cosmotronic Wave.png
5.0,"I'm not quite sure yet how good the Gate deck is, but Gargoyle is a solid payoff. With 2 Gates in play, this is good, and at 3+ it's very good. The rating reflects a deck with 5+ Gates, and I wouldn't play this with fewer than that.",235,Gatekeeper Gargoyle,drn,artifact,uncommon,,,,,https://raw.githubusercontent.com/jakobmattsson/mtg-cards/master/images/grn/Gatekeeper Gargoyle.png
4.9,"Parhelion Patrol would be sweet without mentor, so adding that keyword makes it an appealing common. Granted, you aren't likely to trigger this multiple times most games, but even once is more than enough of a pay off.",22,Parhelion Patrol,drn,white,common,,,,,https://raw.githubusercontent.com/jakobmattsson/mtg-cards/master/images/grn/Parhelion Patrol.png
4.9,"This isn't exactly a symmetrical effect, because it gives an edge to whichever deck wants the game to go long. Presumably that's your deck, because you included this, and if it ends up that your opponent is more controlling, this is still a 3/3 for 3. I like this card a lot against Boros, and it's playable in every matchup, as Selesnya cares more about the board than purely racing.",158,Centaur Peacemaker,drn,green+white,common,,,,,https://raw.githubusercontent.com/jakobmattsson/mtg-cards/master/images/grn/Centaur Peacemaker.png
4.9,"Pitiless Gorgon is a good defender and very easy to cast in Golgari, while being a solid card in either Selesnya or Dimir. It can even attack and prompt a trade eventually, while not worrying about any combat trick save Sure Strike. This fits Golgari's themes well, and is a solid pick as a result.",218,Pitiless Gorgon,drn,black-green,common,,,,,https://raw.githubusercontent.com/jakobmattsson/mtg-cards/master/images/grn/Pitiless Gorgon.png
4.9,"Black doesn't usually get creatures as beefy as this, and I'm always in for a Thornhide Wolves. I like the first one of these a lot, though at 5 mana it does conflict with the vastly superior Deadly Visit.",70,Douser of Lights,drn,black,common,,,,,https://raw.githubusercontent.com/jakobmattsson/mtg-cards/master/images/grn/Douser of Lights.png
4.9,"You have to be very aggressive in order to maximize this, though it's possible that spells-matter decks might want a 1-mana jump-start card. I like how much damage this brings to the table, as double Altitude on a key turn can push through a ton of flying beats.",43,Maximize Altitude,drn,blue,common,,,,,https://raw.githubusercontent.com/jakobmattsson/mtg-cards/master/images/grn/Maximize Altitude.png
4.9,"This pulls together multiple themes, as you both need to be aggressive and have plenty of spells before this really pulls its weight. It will be pretty good in that style of Izzet deck, and some spell-heavy Boros decks will run it as well.",116,Smelt-Ward Minotaur,drn,red,uncommon,,,,,https://raw.githubusercontent.com/jakobmattsson/mtg-cards/master/images/grn/Smelt-Ward Minotaur.png
4.9,"I'd definitely pay 6 mana for this, and be quite happy at 5 or less, which makes this a great convoke incentive. You don't need millions of creatures for this to be good, and even your average Boros deck will be happy running this as top end.",11,Flight of Equenauts,drn,white,uncommon,,,,,https://raw.githubusercontent.com/jakobmattsson/mtg-cards/master/images/grn/Flight of Equenauts.png
4.9,"You can't go too deep on shaping wood, as 4 mana for a 2/1 does put you behind on board, but having one or two of these gets you ahead on cards and helps find the best creatures (or Luminous Bonds) in your deck.",200,Sumala Woodshaper,drn,green+white,common,,,,,https://raw.githubusercontent.com/jakobmattsson/mtg-cards/master/images/grn/Sumala Woodshaper.png
4.9,"Green has sizable creatures, as usual, so Preying Upon the opposition is not hard to do. It also plays nicely with Selesnya's acceleration, making it a little better there than in Golgari, though it's fine in either guild.",143,Prey Upon,drn,green,common,,removal,,,https://raw.githubusercontent.com/jakobmattsson/mtg-cards/master/images/grn/Prey Upon.png
4.9,"Edict (sacrifice) effects are much worse in Limited than Constructed. Your opponent will be playing more creatures, and specifically more bad ones, making this a lot less effective. It's cute that it can make them discard a card, and eating planeswalkers will definitely have Constructed implications, but for Limited I'd consider this a marginal playable more than anything exciting.",82,Plaguecrafter,drn,black,uncommon,,removal,,,https://raw.githubusercontent.com/jakobmattsson/mtg-cards/master/images/grn/Plaguecrafter.png
4.9,"The first Disdainful Stroke isn't bad, especially against all the guilds that aren't Boros. They do get a lot worse in multiples, because of the risk of them being dead, so I wouldn't prioritize this in the Draft. In Sealed, I'd always run two and might even run three-every deck is going to have a lot of good expensive cards to snipe.",37,Disdainful Stroke,drn,blue,common,instant,,,,https://raw.githubusercontent.com/jakobmattsson/mtg-cards/master/images/grn/Disdainful Stroke.png
