Card,Set,Mana Cost,Card Type,Color,Rarity,imageUrl,lowScore,highScore,review,color,set,power,toughness,text
Emergent Growth,Ixalan,3G,Sorcery,Green,Uncommon,http://crystalcommerce-assets.s3.amazonaws.com/photos/6379443/large/145740_200w.jpg?1505504668,1,,"Your opponent can toss their worst creature in front of this, making it an expensive and slow removal spell. It's also susceptible to bounce and other instant-speed interaction, making me skeptical that I'll ever play it.",green,xln,,,Target creature gets +5/+5 until end of turn and must be blocked this turn if able.
Emissary of Sunrise,Ixalan,2W,Creature  - Human Cleric,White,Uncommon,http://crystalcommerce-assets.s3.amazonaws.com/photos/6379120/large/145614_200w.jpg?1505405668,3,,"Explore looks like a profitable mechanic. It's not quite ""draw a card,"" but it's close enough that I'm playing any explore card unless it's wildly overcosted. This is not, and I'd gladly include it any deck.",white,xln,2,1,"First strike. When Emissary of Sunrise enters the battlefield, it explores. (Reveal the top card of your library. Put that card into your hand if it's a land. Otherwise, put a +1/+1 counter on this creature, then put the card back or put it into your graveyard.)"
Emperor's Vanguard,Ixalan,3G,Creature  - Human Scout,Green,Rare,http://crystalcommerce-assets.s3.amazonaws.com/photos/6375445/large/142024_200w.jpg?1503948919,3.5,,"This hits pretty hard, as getting through even once adds a ton of value. It's also a solid 4/3 for 4, so you aren't even paying for the ability. I'd take this, and I'd prioritize ways to get it through once I had it.",green,xln,4,3,"Whenever Emperor's Vanguard deals combat damage to a player, it explores. (Reveal the top card of your library. Put that card into your hand if it's a land. Otherwise, put a +1/+1 counter on this creature, then put the card back or put it into your graveyard.)"
Encampment Keeper,Ixalan,W,Creature  - Hound,White,Common,http://crystalcommerce-assets.s3.amazonaws.com/photos/6379444/large/145697_200w.jpg?1505504670,1.5,,"I'd only run Keepers if the base version has some value to your deck, which in this case is a 1/1 first strike. An aggro deck could want that, but no other deck will, and waiting until 8 mana means that the sacrifice ability won't go off all that often. This is another card you probably should play a bit less often than you think.",white,xln,1,1,"First strike. {7}{W}, {T}, Sacrifice Encampment Keeper: Creatures you control get +2/+2 until end of turn."
Enter the Unknown,Rivals of Ixalan,G,Sorcery,Green,Uncommon,http://crystalcommerce-assets.s3.amazonaws.com/photos/6421765/large/155577_200w.jpg?1514916897,1.5,,"Despite it being tempting to turbo something out while getting lands or +1/+1 counters for your trouble, it's hard for this to work out perfectly. You need to draw it early, have a cheap creature, and lands to play, while also needing expensive cards to ramp to. Given that explore ends up getting you a card less than half the time, I'm not excited about this.",green,rix,,,"Target creature you control explores. (Reveal the top card of your library. Put that card into your hand if it's a land. Otherwise, put a +1/+1 counter on the creature, then put the card back or put it into your graveyard.). You may play an additional land this turn."
Entrancing Melody,Ixalan,XUU,Sorcery,Blue,Rare,http://crystalcommerce-assets.s3.amazonaws.com/photos/6375446/large/142004_200w.jpg?1503948923,4,,"Stealing opposing creatures has always been bomb-level territory, and no matter how many times you hear the same song, it doesn't get old. This isn't the most efficient iteration we've seen, but paying 2 mana on top of the cost of the creature is still a price I'll gladly pay for such a swingy effect.",blue,xln,,,Gain control of target creature with converted mana cost X.
"Etali, Primal Storm",Rivals of Ixalan,4RR,Legendary Creature  - Elder Dinosaur,Red,Rare,http://crystalcommerce-assets.s3.amazonaws.com/photos/6421819/large/155633_200w.jpg?1515010941,4,,"This reminds me of the Titans (Primeval, Grave, etc.), even if it's missing an ETB trigger. It's huge, and if it survives to attack it draws you up to two cards and a bunch of mana. That's a big reward, and a 6/6 for 6 is already quite acceptable. I'm a fan of forcing Storm, and if I open this, you better believe I will.",red,rix,6,6,"Whenever Etali, Primal Storm attacks, exile the top card of each player's library, then you may cast any number of nonland cards exiled this way without paying their mana costs."
Everdawn Champion,Rivals of Ixalan,1WW,Creature  - Human Soldier,White,Uncommon,http://crystalcommerce-assets.s3.amazonaws.com/photos/6422019/large/155807_200w.jpg?1515181128,3.5,,"The fact that the opponent can't ever kill this in combat is sweet, and this plays well with pump spells. It isn't in a supported tribe, but besides that, this is a great card no matter what kind of deck you're playing. Blocking well and attacking without fear makes this an awesome 3-drop. It's basically True-Name Nemesis, though slightly better because it doesn't die to -1/-1 effects.",white,rix,2,2,Prevent all combat damage that would be dealt to Everdawn Champion.
Evolving Wilds,Rivals of Ixalan,,Land,Land,Common,http://crystalcommerce-assets.s3.amazonaws.com/photos/6421795/large/155590_200w.jpg?1514937660,3,,"I love having this in the format. It just makes mana better across the board, and allows for splashes for time to time, which I view as a positive.",gold,rix,,,"{T}, Sacrifice Evolving Wilds: Search your library for a basic land card, put it onto the battlefield tapped, then shuffle your library."
Expel from Orazca,Rivals of Ixalan,1U,Instant,Blue,Uncommon,http://crystalcommerce-assets.s3.amazonaws.com/photos/6422020/large/155796_200w.jpg?1515181132,2.5,,"A 2-mana bounce spell that turns into Time Ebb later in the game is a fine card, though I don't expect to have the city's blessing all that often in decks that want bounce spells.",blue,rix,,,"Ascend (If you control ten or more permanents, you get the city's blessing for the rest of the game.). Return target nonland permanent to its owner's hand. If you have the city's blessing, you may put that permanent on top of its owner's library instead."
Exultant Skymarcher,Rivals of Ixalan,1WW,Creature  - Vampire Soldier,White,Common,http://crystalcommerce-assets.s3.amazonaws.com/photos/6421936/large/155714_200w.jpg?1515173799,3,,"Not only is this a Vampire, it's also efficient. Non-Vampire decks will be happy to play this, and it's an early pick for Vamps. It does require 9+ Plains to be a consistent turn-3 play, so keep that in mind when selecting it.",white,rix,2,3,Flying
Famished Paladin,Rivals of Ixalan,1W,Creature  - Vampire Knight,White,Uncommon,http://crystalcommerce-assets.s3.amazonaws.com/photos/6421810/large/155634_200w.jpg?1515010922,3.5,,"Famished Paladin is hungry, yet blocking doesn't seem to bother him. Playing this as a 2-mana 3/3 blocker is great, and if you have a couple incidental sources of life gain, he can bash in for a ton of damage. In a defensive deck, this is playable without life gain, and in an aggressive deck, I'd want 3-4 (including at least one lifelink) before being happy with him.",white,rix,3,3,"Famished Paladin doesn't untap during your untap step. Whenever you gain life, untap Famished Paladin."
Fanatical Firebrand,Rivals of Ixalan,R,Creature  - Goblin Pirate,Red,Common,http://crystalcommerce-assets.s3.amazonaws.com/photos/6421820/large/155636_200w.jpg?1515010944,3,,"I'm always putting one of these in my main deck, and could be talked into two if the format lends itself to lots of x/1s. This can also trigger raid and peck in for damage early, while blocking and taking out a 2/1 or 3/1 later. As with all 1-damage effects, be ready to side them in or out as appropriate, based on what your opponent plays.",red,rix,1,1,"Haste. {T}, Sacrifice Fanatical Firebrand: It deals 1 damage to target creature or player."
Fathom Fleet Boarder,Rivals of Ixalan,2B,Creature  - Orc Pirate,Black,Common,http://crystalcommerce-assets.s3.amazonaws.com/photos/6421934/large/155730_200w.jpg?1515173795,3,,"This is a strong card all around, as a 3/3 for 3 plays well on defense or offense. You'd rather be Pirates, and not lose 2 life, but this is big enough and cheap enough that it's worth playing in any black deck.",black,rix,3,3,"When Fathom Fleet Boarder enters the battlefield, you lose 2 life unless you control another Pirate."
Fathom Fleet Captain,Ixalan,1B,Creature  - Human Pirate,Black,Rare,http://crystalcommerce-assets.s3.amazonaws.com/photos/6375447/large/142011_200w.jpg?1503948926,3.5,,"Not only is a 2/1 menace for 2 a good deal on its face, this snowballs out of control quickly if you can enable it. I can't fathom not picking this early, and even later in the Draft it's worth trying to make work. Plus, the fail case is so good that you can run this with as few as 1-2 other Pirates and feel good about it.",black,xln,2,1,"Menace. Whenever Fathom Fleet Captain attacks, if you control another nontoken Pirate, you may pay {2}. If you do, create a 2/2 black Pirate creature token with menace."
Fathom Fleet Cutthroat,Ixalan,3B,Creature  - Human Pirate,Black,Common,http://crystalcommerce-assets.s3.amazonaws.com/photos/6379445/large/145786_200w.jpg?1505504671,2,,"This existing will greatly increase the success rate of bluff attacks, as sending 1/1s into 3/3s looks mighty suspicious. Given the raid mechanic, it's good to keep people on their toes, and this does a lot of work even if you don't have it in your hand (or deck). That said, the ability is solid, though definitely on the aggressive side, and it won't go off against crafty opponents as often as you'd like. This also is a card you can side out after showing it to the opponent, as it will impact their play in subsequent games.",black,xln,3,3,"When Fathom Fleet Cutthroat enters the battlefield, destroy target creature an opponent controls that was dealt damage this turn."
Fathom Fleet Firebrand,Ixalan,1R,Creature  - Human Pirate,Red,Common,http://crystalcommerce-assets.s3.amazonaws.com/photos/6379446/large/145776_200w.jpg?1505504673,2.5,,"Try saying this three times fast, or just skip that and play it in your aggressive decks. This is good on turn 2 and does a respectable job later, which is all you can ask for out of your 2-drop.",red,xln,2,2,{1}{R}: Fathom Fleet Firebrand gets +1/+0 until end of turn.
Favorable Winds,Ixalan,1U,Enchantment,Blue,Uncommon,http://crystalcommerce-assets.s3.amazonaws.com/photos/6377651/large/144956_200w.jpg?1504729696,1,3,"In most decks, this is unplayable, but once you have 7+ flyers, especially cheap ones, it becomes a potent build-around. It's a little tricky because most decks full of flyers are already great, but why not make a great deck even better if you can?",blue,xln,,,Creatures you control with flying get +1/+1.
Fell Flagship,Ixalan,3,Artifact  - Vehicle,Artifact,Rare,http://crystalcommerce-assets.s3.amazonaws.com/photos/6378353/large/145265_200w.jpg?1504901298,2.5,,"In a Pirate deck, this does a lot of work. It makes all of your Pirates better (which also reduces how hard it is to crew this), and might poke in for a card or two if the way is clear. That's a lot for 3 mana, and this can even be a flagship card if your deck is tribal enough.",gold,xln,3,3,"Pirates you control get +1/+0. Whenever Fell Flagship deals combat damage to a player, that player discards a card. Crew 3 (Tap any number of creatures you control with total power 3 or more: This Vehicle becomes an artifact creature until end of turn.)"
Field of Ruin,Ixalan,,Land,Land,Uncommon,http://crystalcommerce-assets.s3.amazonaws.com/photos/6379116/large/145602_200w.jpg?1505405656,0.5,,"I'd side this in against the rare flip lands, but otherwise it's not worth a slot.",gold,xln,,,"{T}: Add {C} to your mana pool. {2}, {T}, Sacrifice Field of Ruin: Destroy target nonbasic land an opponent controls. Each player searches his or her library for a basic land card, puts it onto the battlefield, then shuffles his or her library."
Fiery Cannonade,Ixalan,2R,Instant,Red,Uncommon,http://crystalcommerce-assets.s3.amazonaws.com/photos/6379672/large/145808_200w.jpg?1505508574,2.5,,"Assuming this doesn't maul your own creatures, I like it in the main deck. It's very effective against Merfolk and Vampires, and can even help against Dinosaurs. Feel free to side it out aggressively, as it's going to be quite bad in some matchups.",red,xln,,,Fiery Cannonade deals 2 damage to each non-Pirate creature.
Fire Shrine Keeper,Ixalan,R,Creature  - Elemental,Red,Common,http://crystalcommerce-assets.s3.amazonaws.com/photos/6379447/large/145778_200w.jpg?1505504675,1,,"While I do like mana sinks in general, the Keeper cycle has mostly been a miss for me. Eight is just so much, and I don't really want a 1/1 menace in my decks either.",red,xln,1,1,"Menace. {7}{R}, {T}, Sacrifice Fire Shrine Keeper: It deals 3 damage to each of up to two target creatures."
Firecannon Blast,Ixalan,1RR,Sorcery,Red,Common,http://crystalcommerce-assets.s3.amazonaws.com/photos/6379448/large/145785_200w.jpg?1505504676,3.5,,"This is some high-quality removal, and I'm going to have a blast killing my opponent's 6-drops with it. This clears the way early and snipes large things late, which is a very good deal for only 3 mana.",red,xln,,,Firecannon Blast deals 3 damage to target creature. Raid — Firecannon Blast deals 6 damage to that creature instead if you attacked with a creature this turn.
Fleet Swallower,Ixalan,5UU,Creature  - Fish,Blue,Rare,http://crystalcommerce-assets.s3.amazonaws.com/photos/6379418/large/145637_200w.jpg?1505504597,1.5,,"This is essentially graded as a 7-mana 6/6, because milling half the opponent's library just isn't that relevant an effect if you are attacking with such a monstrous creature. There are some games where that will matter, but for the most part this is an expensive finisher, and not a very notable one at that.",blue,xln,6,6,"Whenever Fleet Swallower attacks, target player puts the top half of his or her library, rounded up, into his or her graveyard."
Flood of Recollection,Rivals of Ixalan,UU,Sorcery,Blue,Uncommon,http://crystalcommerce-assets.s3.amazonaws.com/photos/6421875/large/155681_200w.jpg?1515091931,1,,"This a Constructed plant more than anything, as you don't really get funky combos going in Limited. You have to have enough spells to give this consistent targets, and spend a 2-mana premium to cast one again. Unless you're completely spell-flooded, I don't think that's very realistic.",blue,rix,,,Return target instant or sorcery card from your graveyard to your hand. Exile Flood of Recollection.
Forerunner of the Coalition,Rivals of Ixalan,2B,Creature  - Human Pirate,Black,Uncommon,http://crystalcommerce-assets.s3.amazonaws.com/photos/6421876/large/155682_200w.jpg?1515091934,3,,"All of the Forerunners seem solid, and all of them get better once you have good tutor targets. This will fill out your curve nicely, and even ping the opponent a few times over the course of the game. That's more than good enough for me.",black,rix,2,2,"When Forerunner of the Coalition enters the battlefield, you may search your library for a Pirate card, reveal it, then shuffle your library and put that card on top of it. Whenever another Pirate enters the battlefield under your control, each opponent loses 1 life."
Forerunner of the Empire,Rivals of Ixalan,3R,Creature  - Human Soldier,Red,Uncommon,http://crystalcommerce-assets.s3.amazonaws.com/photos/6421877/large/155683_200w.jpg?1515091937,3,,"The high end for all the Forerunners is pretty high, and as you get good targets, their ratings skyrocket. This starts out nicely, as it preys on 1-toughness creatures and triggers all your enrage cards (even if there aren't many), while ensuring you draw a good Dino the turn after playing this. If you are summoning something good, you can build an empire on this, and I wouldn't mind picking it early and going into Dinos.",red,rix,1,3,"When Forerunner of the Empire enters the battlefield, you may search your library for a Dinosaur card, reveal it, then shuffle your library and put that card on top of it. Whenever a Dinosaur enters the battlefield under your control, you may have Forerunner of the Empire deal 1 damage to each creature."
Forerunner of the Heralds,Rivals of Ixalan,3G,Creature  - Merfolk Scout,Green,Uncommon,http://crystalcommerce-assets.s3.amazonaws.com/photos/6421878/large/155684_200w.jpg?1515091940,3,,"This Forerunner means business, and will often end up hitting the opponent as a 5/4 the turn after you play it. It also tutors up whatever the best Merfolk you have is, and the catch of the day is often going to be a nice one.",green,rix,3,2,"When Forerunner of the Heralds enters the battlefield, you may search your library for a Merfolk card, reveal it, then shuffle your library and put that card on top of it. Whenever another Merfolk enters the battlefield under your control, put a +1/+1 counter on Forerunner of the Heralds."
Forerunner of the Legion,Rivals of Ixalan,2W,Creature  - Vampire Knight,White,Uncommon,http://crystalcommerce-assets.s3.amazonaws.com/photos/6421879/large/155685_200w.jpg?1515091943,3.5,,"I'm never going to call this anything but Vampiric Tutor, and I expect to mention it a lot. It's quite good in a dedicated Vamps deck, especially with token making, and becomes absurd once you have a good uncommon or rare Vamp to search for.",white,rix,2,2,"When Forerunner of the Legion enters the battlefield, you may search your library for a Vampire card, reveal it, then shuffle your library and put that card on top of it. Whenever another Vampire enters the battlefield under your control, target creature gets +1/+1 until end of turn."
Form of the Dinosaur,Rivals of Ixalan,4RR,Enchantment,Red,Rare,http://crystalcommerce-assets.s3.amazonaws.com/photos/6421752/large/155572_200w.jpg?1514916875,3.5,,"While Form of the Dinosaur may be a little risky, the payoff is enormous. It's a 6-drop that catches you up instantly by setting your life to 15, which means that you can be aggressive about taking damage early. Once you untap, you get to hunt down their biggest creature, and continue down the line, though if your life total gets low, you might start eating small things instead. The drawback is that you have to fight, so your primal instincts may get you killed if they keep playing creatures. The key with this is to end the game after playing it, which makes it a little different than most control finishers. The power level is here, but you do need some creatures to close out the game before you run out of life points. It's also nice with life gain, and bounce/removal can help you avoid dying to the ability. Of note, you can also target a creature then bounce or kill it with a spell in response, which will prevent you from taking the damage.",red,rix,,,"When Form of the Dinosaur enters the battlefield, your life total becomes 15. At the beginning of your upkeep, Form of the Dinosaur deals 15 damage to target creature an opponent controls and that creature deals damage equal to its power to you."
Forsaken Sanctuary,Rivals of Ixalan,,Land,Land,Uncommon,,,,,,,,,Forsaken Sanctuary enters the battlefield tapped. {T}: Add {W} or {B} to your mana pool.
Foul Orchard,Rivals of Ixalan,,Land,Land,Uncommon,,,,,,,,,Foul Orchard enters the battlefield tapped. {T}: Add {B} or {G} to your mana pool.
Frenzied Raptor,Ixalan,2R,Creature  - Dinosaur,Red,Common,http://crystalcommerce-assets.s3.amazonaws.com/photos/6379453/large/145788_200w.jpg?1505504684,1.5,,"4/2s trade down for 2-drops too easily for this to be a high priority, but it will make the cut if you care that it's a Dinosaur. There are plenty of decks where that is enough, and it's unlikely anyone else at the table will be stealing this from you.",red,xln,4,2,
Frilled Deathspitter,Rivals of Ixalan,2R,Creature  - Dinosaur,Red,Common,http://crystalcommerce-assets.s3.amazonaws.com/photos/6421753/large/155573_200w.jpg?1514916877,2.5,,"It's hard to imagine cutting this from an aggro deck, as it forces through some damage no matter what (even very late in the game). It's a nice combo with Forerunner of the Empire, and annoying to deal with outside of a removal spell. I wouldn't play this in a ramp deck, but in any aggressive deck I'd be frilled to have it.",red,rix,3,2,"Enrage — Whenever Frilled Deathspitter is dealt damage, it deals 2 damage to target opponent."
"Ghalta, Primal Hunger",Rivals of Ixalan,10GG,Legendary Creature  - Elder Dinosaur,Green,Rare,http://crystalcommerce-assets.s3.amazonaws.com/photos/6384670/large/636504238922417440.png?1514935656,4,,"12 may seem like a lot, until you realize that any two other Dinos makes this castable, and a Dino plus a smaller creature gives you a pretty good shot. Ghalta is large enough (and hungry enough) that it's worth drafting around and trying to play on turn 6 or 7. It may take a somewhat focused deck, but the payoff is there.",green,rix,12,12,"Ghalta, Primal Hunger costs {X} less to cast, where X is the total power of creatures you control. Trample"
Gilded Sentinel,Ixalan,4,Artifact Creature  - Golem,Artifact,Common,http://crystalcommerce-assets.s3.amazonaws.com/photos/6379454/large/145711_200w.jpg?1505504686,1,,"If you really need another warm (cold) body, here you are. A 3/3 for 4 is not exactly the gold standard, so only run this if you are really short creatures.",gold,xln,3,3,
Giltgrove Stalker,Rivals of Ixalan,1G,Creature  - Merfolk Warrior,Green,Common,http://crystalcommerce-assets.s3.amazonaws.com/photos/6422024/large/155772_200w.jpg?1515181143,2.5,,"Giltgrove Stalker has an annoying little text box, and will sometimes chip in for a solid 4-6 damage before the opponent can muster an appropriate blocker. Plus, if they have to toss a 3/2 or 4/2 in front of it, you're happy about that outcome, and if you can pick up combat tricks the opponent might just run right into them.",green,rix,2,1,Giltgrove Stalker can't be blocked by creatures with power 2 or less.
"Gishath, Sun's Avatar",Ixalan,5RGW,Legendary Creature  - Dinosaur Avatar,Gold,Mythic Rare,http://crystalcommerce-assets.s3.amazonaws.com/photos/6375448/large/142030_200w.jpg?1503948929,4,,"This has a rough mana cost and requires more Dinosaurs to be great, but the payoff is there. Smashing for 7 immediately is huge, and getting a blocker, plus having this untapped and ready to go, makes it a solid defensive play too. At least for now, if I open this, I will be taking it and trying to make it work.",gold,xln,7,6,"Trample, vigilance, haste. Whenever Gishath, Sun's Avatar deals combat damage to a player, reveal that many cards from the top of your library. Put any number of Dinosaur creature cards from among them onto the battlefield and the rest on the bottom of your library in a random order."
Glacial Fortress,Ixalan,,Land,Land,Rare,,,,,,,,,Glacial Fortress enters the battlefield tapped unless you control a Plains or an Island. {T}: Add {W} or {U} to your mana pool.
Gleaming Barrier,Rivals of Ixalan,2,Artifact Creature  - Wall,Artifact,Common,http://crystalcommerce-assets.s3.amazonaws.com/photos/6421766/large/155585_200w.jpg?1514916899,1,,"There's no point in the game where I'm happy with this, either as a wall or a Treasure. It may be a fine sideboard card, but I'd really rather not main deck it.",gold,rix,0,4,"Defender. When Gleaming Barrier dies, create a colorless Treasure artifact token with ""{T}, Sacrifice this artifact: Add one mana of any color to your mana pool."""
Glorifier of Dusk,Ixalan,3WW,Creature  - Vampire Soldier,White,Uncommon,http://crystalcommerce-assets.s3.amazonaws.com/photos/6379455/large/145698_200w.jpg?1505504687,3.5,,"This is actually a less glorified version of Serra Angel, but I'm more than willing to pay 4 life to build my own. You don't have to pay the life all that often, and when you do, it's likely to force through damage or save you life on the attack back.",white,xln,4,4,Pay 2 life: Glorifier of Dusk gains flying until end of turn. Pay 2 life: Glorifier of Dusk gains vigilance until end of turn.
Goblin Trailblazer,Rivals of Ixalan,1R,Creature  - Goblin Pirate,Red,Common,http://crystalcommerce-assets.s3.amazonaws.com/photos/6421937/large/155707_200w.jpg?1515173801,3,,"Evasive 2-mana creatures are always menacing, and this is no exception. It can easily get 4-6 points in early, is a pain to block later, and combines nicely with combat tricks by forcing double-blocks. Cards like this are what make me think the format can't have slowed down much.",red,rix,2,1,Menace
Golden Demise,Rivals of Ixalan,1BB,Sorcery,Black,Uncommon,http://crystalcommerce-assets.s3.amazonaws.com/photos/6421880/large/155686_200w.jpg?1515091945,3,,"Golden Demise is going to have a wide range of effectiveness. Against some decks, it's going to be an easy 2- or 3-for-1, and against other decks you'll struggle to kill even one creature. I really liked Fiery Cannonade in triple-Ixalan, and while this is a little trickier to get to use, at least it won't ever miss the opponent's creatures. The city's blessing doesn't matter a ton, but every now and then it'll be a reasonable bonus.",black,rix,,,"Ascend (If you control ten or more permanents, you get the city's blessing for the rest of the game.). All creatures get -2/-2 until end of turn. If you have the city's blessing, instead only creatures your opponents control get -2/-2 until end of turn."
Golden Guardian,Rivals of Ixalan,4,Artifact Creature  - Golem,Artifact,Rare,http://crystalcommerce-assets.s3.amazonaws.com/photos/6421881/large/155698_200w.jpg?1515091950,2.5,,"In a defensive deck, this is a very sweet win condition, and is another card that could easily go up in value. If the opponent ever gives you a window to flip this, it's worth losing 2 creatures, as you get to start pumping out Golems until they get crushed. Also note that the land taps for 2 mana, which is a nice little bonus.",gold,rix,4,4,"Defender. {2}: Golden Guardian fights another target creature you control. When Golden Guardian dies this turn, return it to the battlefield transformed under your control."
Goring Ceratops,Ixalan,5WW,Creature  - Dinosaur,White,Rare,http://crystalcommerce-assets.s3.amazonaws.com/photos/6375450/large/141994_200w.jpg?1503948936,2,,"I don't love 7-drops with only 3 toughness, but this does strike me as threatening enough to be worth the effort. It's better than a 6/3 on its own, and it makes the rest of your squad bash for a ton if you get to attack with it. Still, this is a 7 cost card that doesn't play defense all that well and has to survive a turn before it generates value. That doesn't make me excited, and I think it'll slot in as an acceptable finisher for some decks without being a high pick.",white,xln,3,3,"Double strike. Whenever Goring Ceratops attacks, other creatures you control gain double strike until end of turn."
Grasping Current,Ixalan,4U,Sorcery,Blue,Rare,,,,,,,,,"Return up to two target creatures to their owner's hand. Search your library and/or graveyard for a card named Jace, Ingenious Mind-Mage, reveal it, and put it into your hand. If you searched your library this way, shuffle it."
Grasping Scoundrel,Rivals of Ixalan,B,Creature  - Human Pirate,Black,Common,http://crystalcommerce-assets.s3.amazonaws.com/photos/6421938/large/155736_200w.jpg?1515173803,2,,"A lot of decks will want a 2/1 on offense, though this not being able to block as such will sometimes leave you grasping at straws. Pirates is more interested in Grasping Scoundrel than other decks, as you'd expect, but it's more the aggression level of your deck that will determine its place.",black,rix,1,1,Grasping Scoundrel gets +1/+0 as long as it's attacking.
Grazing Whiptail,Ixalan,2GG,Creature  - Dinosaur,Green,Common,http://crystalcommerce-assets.s3.amazonaws.com/photos/6378354/large/145266_200w.jpg?1504901300,3,,"Grazing Whiptail is the definition of solid playable. A 3/4 reach for 4 is a good defender and decent attacker, and it's even a relevant creature type.",green,xln,3,4,Reach
Grim Captain's Call,Ixalan,2B,Sorcery,Black,Uncommon,http://crystalcommerce-assets.s3.amazonaws.com/photos/6379456/large/145787_200w.jpg?1505504689,1,3,"Can I call this Tidings, or is that too much? In a deck where you are only getting one creature back, this is unplayable, but it gets pretty good once you are up to two or three reliably. Most decks won't be that diverse, but if you get the mixed bag tribal deck, this will make things grim for your opponent. Drawing three creatures for 3 mana is awesome, and if you get the full four I think you should get to declare victory.",black,xln,,,"Return a Pirate card from your graveyard to your hand, then do the same for Vampire, Dinosaur, and Merfolk."
Growing Rites of Itlimoc,Ixalan,2G,Legendary Enchantment,Green,Rare,http://crystalcommerce-assets.s3.amazonaws.com/photos/6378355/large/145267_200w.jpg?1504901301,2,,"Spending 3 mana to get a creature isn't great, though once this flips you are up a very good card. I'd run this in creature-heavy decks unless I was very aggressive, which makes it a fine mid-pack pick but nowhere near a bomb.",gold,xln,,,"When Growing Rites of Itlimoc enters the battlefield, look at the top four cards of your library. You may reveal a creature card from among them and put it into your hand. Put the rest on the bottom of your library in any order. At the beginning of your end step, if you control four or more creatures, transform Growing Rites of Itlimoc."
Gruesome Fate,Rivals of Ixalan,2B,Sorcery,Black,Common,http://crystalcommerce-assets.s3.amazonaws.com/photos/6421935/large/155739_200w.jpg?1515173797,1,,"Combining a desire for direct player damage and an ability to make lots of creatures is dicey, largely because aggro decks tend to trade off creatures. This is too conditional for my tastes, and I don't want one in my deck, much less an encore.",black,rix,,,Each opponent loses 1 life for each creature you control.
Hadana's Climb,Rivals of Ixalan,1GU,Legendary Enchantment,Gold,Rare,http://crystalcommerce-assets.s3.amazonaws.com/photos/6421939/large/155738_200w.jpg?1515173804,3,,"Getting a counter each turn is a decent ability, and once you've gotten three, you can often kill the opponent in one shot. This works very well with all the hexproof in these colors, and is a threatening card on any board where you aren't getting run over.",gold,rix,,,"At the beginning of combat on your turn, put a +1/+1 counter on target creature you control. Then if that creature has three or more +1/+1 counters on it, transform Hadana's Climb."
Hardy Veteran,Rivals of Ixalan,1G,Creature  - Human Warrior,Green,Common,http://crystalcommerce-assets.s3.amazonaws.com/photos/6422025/large/155773_200w.jpg?1515181146,3,,"Hardy Veteran is hard to kill, and I'd only cut it from the most defensive green decks. It's just got too many stats to ignore, and at such a low cost.",green,rix,2,2,"As long as it's your turn, Hardy Veteran gets +0/+2."
Headstrong Brute,Ixalan,2R,Creature  - Orc Pirate,Red,Common,http://crystalcommerce-assets.s3.amazonaws.com/photos/6379457/large/145790_200w.jpg?1505504690,3,,"Headstrong Brute is going to be one of the aggressive Pirate mainstays in the set, as a 3/3 menace for 3 is a fantastic deal. This will beat the crap out of most opponents, and especially if backed up by removal, can never be effectively blocked. Given that it can't block itself, the normal caveats about not playing this in control decks apply.",red,xln,3,3,Headstrong Brute can't block. Headstrong Brute has menace as long as you control another Pirate.
Headwater Sentries,Ixalan,3U,Creature  - Merfolk Warrior,Blue,Common,http://crystalcommerce-assets.s3.amazonaws.com/photos/6377535/large/144812_200w.jpg?1504650142,1.5,,"This can help you make headwater in filling out your curve, but that's about it. If you really need a 4-drop, or are a heavy Merfolk deck, there are fishier things you could spend 4 mana on.",blue,xln,2,5,
Heartless Pillage,Ixalan,2B,Sorcery,Black,Uncommon,http://crystalcommerce-assets.s3.amazonaws.com/photos/6379530/large/145789_200w.jpg?1505504818,2.5,,"I'm a fan of Mind Rot in general, and Mind Rot with a Treasure attached is a great deal. Even in decks with few creatures, this will have high points, and midrange decks can make very good use of this card. I wouldn't always slam it in aggro since discarding two isn't an effect they care about a ton, so this is not quite an auto-play.",black,xln,,,"Target opponent discards two cards. Raid — If you attacked with a creature this turn, create a colorless Treasure artifact token with ""{T}, Sacrifice this artifact: Add one mana of any color to your mana pool."""
Herald of Secret Streams,Ixalan,3U,Creature  - Merfolk Warrior,Blue,Rare,http://crystalcommerce-assets.s3.amazonaws.com/photos/6375426/large/142005_200w.jpg?1503948880,1,2,"In the right deck, this is a playable finisher, though it often won't be necessary. If you're doing a good job accumulating +1/+1 counters, the last thing you need is a card that makes your creatures better at evasion, and a 2/3 for 4 isn't something I'm excited about. The main thing this makes me think of is someone streaming on Twitch without telling anyone, which then leads me to mention the best slogan I've seen on a shirt: ""Stream like nobody is watching."" Also, you probably shouldn't play this card.",blue,xln,2,3,Creatures you control with +1/+1 counters on them can't be blocked.
Hierophant's Chalice,Ixalan,3,Artifact,Artifact,Common,http://crystalcommerce-assets.s3.amazonaws.com/photos/6379458/large/145714_200w.jpg?1505504692,1,,"Draining for 1 isn't something ramp decks care about a ton, and a 3-mana ramp spell is not exciting enough to be worth running (especially when it doesn't fix colors). I'd avoid this.",gold,xln,,,"When Hierophant's Chalice enters the battlefield, target opponent loses 1 life and you gain 1 life. {T}: Add {C} to your mana pool."
Highland Lake,Rivals of Ixalan,,Land,Land,Uncommon,,,,,,,,,Highland Lake enters the battlefield tapped. {T}: Add {U} or {R} to your mana pool.
