color,title,lowScore,highScore,review
red,The First Eruption,3,,"This card is really tricky. I think it's strong overall, but it might be hard to pull all the pieces together. I see this working as follows: If you have a deck with good high end and creatures with 4+ toughness, this can be a powerful way to punish smaller decks. I don't think that's every red deck, and the format seems like it won't be overrun by aggro, so I don't think this is a bomb. It is interesting, and like all Sagas, I really want to get my hands on them to see."
red,The Flame of Keld,1,,"This is one of the most-argued about cards so far, as many people see a lot higher upside in it than I do. Basically, I see this as a hyper-situational Tormenting Voice + Trumpet Blast, with the slight bonus of making your burn spells deal +2 damage on the final turn as well. It just seems too hard to have a position where your hand is empty and you have sufficient board presence to make this great, especially since it doesn't increase toughness on your creatures. Maybe really aggressive decks end up digging this, but it looks too hard to set up and not rewarding enough when you do. Let's see how this fares, and maybe I put it in my underrated set re-review (though here's where the game is rigged-I admit when I get cards wrong, but all those yelling about how great this is tend to fade quietly into the night, which I guess is what I sign up for by writing these)."
red,Frenzied Rage,2,,"I don't like menace quite as much as first strike on a +2/+1 Aura, but this still will get the job done. As long as you're aggressive and have a low curve, this will make the cut (and then another cut, and then another cut)."
red,Ghitu Chronicler,1.5,3,"This is a slightly different kind of build-around-it asks you to have a lot of spells, but doesn't care too much about them being specific kinds of spells. If you have 8+ spells, this becomes a great addition, and if you're running less than that it is still passable. It's also a Wizard, which could push it over the line in some decks with just a few targets. Plus, if the format is slow enough, I could see this edging toward a 3.5, though it would need to be really slow for it to hit that mark."
red,Ghitu Journeymage,1.5,,"Ghitu Journeymage is the definition of filler, and I expect to play it in most aggro decks and avoid it in the slower ones. The extra ping makes it a little more relevant in the late game, which is nice, and tempo Wizards might end up being really into this."
red,Ghitu Lavarunner,1,,"I find it funny that a clumsy Goblin Guide is a more effective pathfinder than a skilled Lavarunner, but either way this isn't going to make into 40-card decks very often. It's too much work for too little reward, and this usually won't be great at the point in the game where you need your 1-drops to be good."
red,Goblin Barrage,3,,"I like this in barrage mode, and if you pay the kicker, you even get some sabotage to go with it. The fact that it's good without the kicker makes it a fine card, and every now and then you will toss one of your artifacts or Goblins at the opponent's head. Works for me."
red,Goblin Chainwhirler,2.5,,"I like this a lot less than the other triple-color cards because so much of the value of this is in the 3/3 first strike body, and that falls off hard in the late game. If you can be nearly mono-red, this will be great, but I wouldn't take it early and expect that to work out. If you see it later and are in a position to move in, this will be great, but my rating reflects how much value this provides on average, and I don't see it being insane."
red,Goblin Warchief,1.5,,"After looking at what's going on in this set, I don't really see a Goblin theme getting there. Every now and then you'll have a base-red deck with just enough Goblins to make this playable, but it's nowhere near as powerful as the card looks (or was back in Onslaught block)."
red,Haphazard Bombardment,3,,"After spending hours parsing this text, I have come to the conclusion that this is good. It kills three permanents, even if sometimes you'll have to pick lands because they don't have enough stuff in play, and starts working right at the end of the turn you play it. That's powerful enough for me, even if it's very random, and I think this will be a desirable card in this format. It's also really cute with bounce, as Rescuing or Blink of an Eyeing this will kill the full four permanents, because the aim counter remains from the first time you cast it."
red,Jaya Ballard,1,,"Not all planeswalkers are bombs, and Jaya Ballard certainly is not. Her first ability is mediocre, her second is pretty decent, and her casting cost is hard. In a heavy red deck I would likely try Jaya, then take her out once I got to activate her and confirm that she isn't good."
red,Jaya's Immolating Inferno,1,4.5,"This is similar to Yawgmoth's Horrible Plan (or whatever the black one is called). Hard to enable, and uncastable in some decks, but beyond absurd when you do get to cast it. If you can pick up 4+ legendary creatures, this is an insane finisher, and one worth trying to get to work."
red,Keldon Overseer,2.5,,"This is a threatening common. It costs a lot, but the good news is that if you want the 3/1 haste mode, the kicker is probably pretty good in your deck (and vice versa). It's a solid finisher and a card I wouldn't mind in my beatdown decks, but it's too expensive to build a sacrifice deck around."
red,Keldon Raider,3,,"I'm a fan of 4/3s for 4, and ones that let you upgrade a card in your hand are even better. In any red deck, I'll be on the prowl for as many copies of this as I can get."
red,Keldon Warcaller,1.5,,"Nobody will be singing songs about this guy, but he is a bear with an interesting ability in the late game. In an aggro deck with one or two Sagas, I could see running this, though the most likely use case is curve-filling."
red,Orcish Vandal,1,,"There aren't enough ways to generate value off of this, and a 2-mana 1/1 is barely a card by itself. As such, I'll be a good citizen and avoid vandalizing anything."
red,Radiating Lightning,1,2,"This is a marginal main deck card and a decent sideboard one as it can wipe out armies of Saprolings. I would want one of these in my sideboard in most decks, but wouldn't prioritize it very highly."
red,Rampaging Cyclops,3,,"I love the joke here, and the card isn't bad either. It does get weaker in the face of double blocks, but that can be an advantage-the opponent is more likely to try and double up, at which point you wreck them with a combat trick or burn spell. It's also a fine blocker, and a card I would play every time."
red,Run Amok,1.5,,"A trick you can only use while attacking loses a ton of flexibility, even if it's powerful in an aggro deck. I wouldn't run amok outside of very aggressive decks."
red,Seismic Shift,0.5,,"These modes are about as uncomplementary as I can imagine-there is so rarely a time when both are good at once. Add that to the lack of power in either, and a bad card is what you end up with."
red,Shivan Fire,3.5,,"This is my pick for best common in the set. It kills a ton of creatures for 1 mana, and if you need to hit something bigger, you can just pay the price and it'll do that too. The efficiency is so high, and it doesn't fall off in the late game, which in my book puts it just above Eviscerate."
red,Siege-Gang Commander,5,,"I love Siege-Gang Commander. It's insane at any point in the game, and can deal with almost any kind of opposing threat. It even answers flyers once you untap, and is resilient to removal, all while pressuring the opponent's life total. I'm all-in on Siege-Gang, and would consider switching colors for it if I opened it in pack 2."
red,Skirk Prospector,0,,"There are so few Goblins in this set, and this card would probably suck even if there were more. The ability is just not good, as sacrificing creatures to get a mana boost is a steep cost, making its prospects quite grim."
red,Skizzik,3,,"Charging Monstrosaur this is not, and for that I am thankful. Skizzik attacks for enough to be worth playing, and will have some very swingy moments, but is also soft enough in combat not to be incredible."
red,"Squee, the Immortal",3,,"I would always run Squee in a deck with 9+ Mountains, as he can gum up the ground and even attack for a decent amount of damage. It's nice having a card you don't care about, and the opportunity cost on Squee is very low."
red,Two-Headed Giant,3.5,,"I like this card a lot more than I like this format. Half the time it has a good offensive ability, and the entire time it's a 4/4 for 4. I look forward to having some games decided on coin flips (I'm not even joking-I love that kind of nonsense)."
red,"Valduk, Keeper of the Flame",2.5,3.5,"Valduk is a build-around, and the best kind too-he has a low opportunity cost, being a 3/2 for 3, and a high upside when he works. This is worth working toward, and I wouldn't mind snagging him early and seeing where it goes."
red,Verix Bladewing,4.5,,"Well then. Both modes here are very desirable, and combining the two makes a truly awesome bomb. I don't have much to say here-the power level is high, the effect is very simple, and what makes this good are the stats and cost."
red,Warcry Phoenix,1.5,,"A 2/2 haste flyer for 4 isn't impressive, so you need the ability to carry a lot of weight. I don't think it quite does, and I'd mostly be looking to play this in very aggressive decks, but not much outside of that. If it gave the top creature of your deck +1/+1 that would be a completely different story, but that's neither here nor there."
red,Warlord's Fury,1,,"In theory, this is a fine way to get a bit of value without costing a card. In practice, your deck never has room for this kind of card, and unless you are making a first strike deck with the Pride of Femeref, this won't make the cut."
red,Wizard's Lightning,4,,"This is quite good at 3 mana and truly great at 1 mana, so it is no surprise that it gets a high grade. Don't worry about picking up Wizards-this is more than fine regardless of what your deck looks like."
green,Adventurous Impulse,2,,"I like this card, and will run one-two in any deck that has sufficient green sources (ideally nine or so). It smooths out your draws, makes your deck a little more consistent, and does so by reducing the odds of getting mana screwed (by getting lands) while not flooding you in the late game. My first impulse is to have 14+ creatures, though you could get adventurous and run a few less if you feel lucky."
green,Ancient Animus,3,,"Pounce hit pretty low in Ixalan, but a big part of that was how small Merfolk were and how Dinosaurs wanted a removal spell that worked before you played your big Dinos. There are enough solid creatures that aren't too expensive here that this looks like it'll be pretty good, and being Savage Stomp when you target a legendary creature is a real upside."
green,Arbor Armament,1.5,,"It isn't a reach to say that this is a decent combat trick that you'll play about half the time. The bonus is a little small, though it will shine in some matchups."
green,Baloth Gorger,3.5,,"Every green deck will be happy to gorge itself on these. A 4/4 for 4 that is a 7/7 in the late game is really powerful, and this stands head and shoulders above almost every other common creature when it comes to stats. It even stacks well, as the 4-drop slot has a lot of room, so unlike other finishers you will be happy with multiples."
green,Broken Bond,0.5,,"This looks like a sideboard card to me, but I am starting to wonder if maindecking one artifact/enchantment removal card could be right. I won't start off doing that, so this still gets a sideboard rating, but keep an eye on the format-it could be a smart move. The explore ability on this is a nice bit of text, though on balance this is worse than just Naturalize since you won't usually kill anything early enough in the game for that part to matter."
green,Corrosive Ooze,1.5,,"Bears aren't looking great to me here, and this ability oozes with sideboard potential more than anything else. Run this if you need the body, but don't prioritize it."
green,Elfhame Druid,3.5,,"I really like cheap acceleration, and counting for double on kicker cards is a very powerful ability. The kicker cards are also pretty much all great on their own, so you aren't even paying deckbuilding costs, as both halves of this combination stand by themselves."
green,Fungal Plots,3.5,,"If you have a creature-heavy deck, the plot will really thicken, and it will make it nearly impossible for your opponent to kill you on the ground. Even against flyers, this lets you cash in Saprolings for new cards and a little breathing room, making this a self-fueling engine. This does take some work to maximize, but is well worth it."
green,Gaea's Blessing,0.5,,"This is a sweet card (and a dominant Constructed card, if you can believe that), but it doesn't really do anything. It's graveyard hate if you care about that, and it does replace itself, but it does not have my blessing."
green,Gaea's Protector,1,,"I'm low on 4/2s for 4, as they trade down way too easily. In fact, the name ""Protector"" is just a lie, so Gaea should fire this on the spot. I've also found the ""must be blocked"" text to be less powerful than it looks, as the opponent can still choose what to block with, or block with multiples, so you aren't getting a huge advantage. I'd stay away from this."
green,Gift of Growth,2,,"I like pump spells with a little flexibility, and this has it. It wins at combat early for 2 mana, wins a more lopsided combat later for 4 mana, and untaps the creature for some nice ambushes in either case."
green,Grow from the Ashes,1.5,,"I was a little too down on this in the LR review, and it's grown on me since. I know that format speeds are tricky to guess, but I do think this one is slow, so double-ramping for 5 mana can be really explosive. Also, the lands entering untapped is relevant, though that won't come up super often."
green,"Grunn, the Lonely King",3,,"If somehow you don't have a Colossal Dreadmaw in your pool, you might as well pick up Grunn. This will beat for a ton of damage and is incredibly large in the very late game, but it's also just another 6-drop that matches up poorly against bounce/removal."
green,Kamahl's Druidic Vow,1,2.5,"This is hard to cast for multiple reasons, and even when you do cast it, you might end up with a mediocre assortment of monsters. It is a finisher, and it can be powerful, but you want to cast it for 7+ mana to really get going, and that makes it a very inflexible card."
green,Krosan Druid,2,,"I suspect Krosan Druid will end up being a little better than it looks (though it's still largely filler). Gaining 10 life is just so much, and if you can hit eight mana this will do a great job stabilizing. I really want to make a deck that recurs these, and think that they can be great in a deck that needs this effect. That said, a 2/3 for 3 isn't great, and most green decks won't be overjoyed to play this."
green,Llanowar Elves,3.5,,"The difference between a 1-drop and a 2-drop accelerator is dramatic, as a bunch of new Standard players are soon to find out. Curving Elves into any 3-drop into Baloth Gorger is very hard to beat, and this is the best green common as a result. I'm excited to play with Elves, though being on the draw against this card just feels hopeless."
green,Llanowar Envoy,2,,"In a 2-color deck, this is a glorified Warpath Ghoul, but it does enable some nice splashes. I can imagine casting plenty of Eviscerates and Shivan Fires off of Llanowar Envoy, so keep that in mind when you see this in the pack. I also like it a lot in Sealed, where splashes will be more common."
green,Llanowar Scout,1,,"The quality of the Llanowars is dropping dramatically-I almost don't want to see what the next one is. This is just too small and doesn't actually add mana, so you end up down a card in most games."
green,Mammoth Spider,3,,"Now here is a show-stopper. I don't think you'll want tons of Mammoth Spiders because they don't really pressure the opponent, but having one or two as air defense looks strong. They stop even kicked Academy Drakes, and are big enough not to be removed easily."
green,"Marwyn, the Nurturer",2,,"Marwyn looks decent to me, even if you don't end up with a ton of Elves. She's passable by herself, and it takes just one Elf to make her a very strong card. With two good common Elves (and a bad one), and an uncommon Elf, that doesn't seem completely unrealistic."
green,The Mending of Dominaria,3,,"I like this as a green card draw engine. It draws you two creatures (with selection) and puts 1-2 lands into play at the end of it. That's a fine deal for 5 mana, and the delay doesn't matter much either, since you have both creatures by the time you are in a position to cast them. This is slow, but you do want some high end, and this is a good way to take care of that need."
green,"Multani, Yavimaya's Avatar",4.5,,"Ahhh, this is why Colossal Dreadmaw isn't in the set (though I'll believe that when I see it). Multani is a house-it comes in as a 6/6 minimum and will grow, but that's not what makes it so dangerous. The ability to regrow Multani is the kicker, figuratively, as it shuts off a lot of the cards that would normally answer this. Add reach to the mix and you have a card I'm happy to first-pick."
green,Nature's Spiral,1,,"You need a very permanent-dense deck before this becomes appealing, with Sagas being the main reason this does more than just bring back a creature."
green,Pierce the Sky,0.5,,"In a shocking twist, this is a sideboard card."
green,Primordial Wurm,1.5,,"OK, I am starting to believe that Colossal Dreadmaw isn't coming back (cue Primordial Wurm ripping off its mask and being Dreadmaw all along). This is a fine finisher, though I'd prefer to just run Baloth Gorgers in this slot if possible."
green,Saproling Migration,3,,"I like both modes on this, and it gets even better once you're combining it with Saproling synergies. This is playable even without them, so don't expect to pick any up late."
green,Song of Freyalise,2.5,3.5,"In a deck full of creatures, this will have some high points, and there's definitely power here. It is situational, so don't forget the times when you have two creatures out, you play this, and they kill one, making this an expensive +1/+1. It also wants you to have a mix of cheap and expensive creatures, which seems doable enough. I wouldn't be surprised if this ends up a tick or two higher, even if it matches up poorly against removal. It does seem awesome in Saproling decks, as they are ready to sing you the song of their people."
green,Spore Swarm,3,,"Saproling Ambush! This will do good work in any green deck, which seems to be a trend among Saproling cards. Paradoxically, it makes that deck harder to build, as all the pieces are going to be snapped up by people who are not in the deck. In any case, three 1/1s for 4 mana is a good deal, and making this instant speed gives it a little bump too."
green,Sporecrown Thallid,2.5,3.5,"In the average green deck, this is a bear that works with a couple other cards, which isn't bad. In a dedicated Fungus deck, it might be one of your best cards, and those two modes seem pretty win-win to me."
green,Steel Leaf Champion,4,,"This can steal games early and is still a formidable creature late, which is where I like the triple-colored cards to be. Llanowar Elves into this is an early front-runner for the biggest groan test of the set, and I would be happy taking this early (partially because green is a good main color and does a good job generating lots of green mana)."
green,Sylvan Awakening,1.5,3.5,"Sylvan Awakening is tricky. It can be pretty rude at 8+ mana, but is lackluster before then, putting it in massive finisher territory. Some decks are going to love this card, as it does get the opponent dead if you've done a good job ramping and getting to the late game. Other decks aren't going to want it at all, because they are interested in curving out and playing efficient cards (fools). It does have some defensive applications too, but that seems pretty bad, as you are just throwing a card away at that point."
green,Territorial Allosaurus,4.5,,"Well, isn't this a pleasant surprise. I guess Ixalan doesn't have a Dinosaur monopoly, and they let a really good one slip out. This has huge stats and a great ability, making it a fantastic card. Do be careful-if you kick this, it has to fight, so the opponent bouncing their only creature with this on the stack could be devastating."
green,Thorn Elemental,2,,"I like this a little more than the Primordial Wurm because it will get damage through unless stopped by removal. I am seeing a lot of options for finishers here, which collectively reduces the value of each-it doesn't matter that much which 6+ mana cards you have, as long as you have enough (1-2 in most decks)."
green,Untamed Kavu,3.5,,"This is a titan among 2-drops, and a card I will highly prioritize. You are going to want to kick this 80% of the time, but having the option is upside. I also really like vigilance and trample on a 5/5, which is why I'm so high on the card."
green,Verdant Force,1.5,3.5,"Most decks can't reliably cast 8-drops, but in a deck geared towards doing it, this is amazing. It floods the board very quickly and is monstrous itself, making it one of the better ways to close out the game."
green,Wild Onslaught,2,,"I'd want to focus my deck on tokens to maximize this, though it's a fine way to spend 4 or 8 mana in a normal deck too. Neither mode is very efficient, but the effect is powerful and getting to choose between the modes is worth something. There are a lot of green +1/+1 effects in this set, so make sure to play with that in mind when facing green mages."
green,Yavimaya Sapherd,3,,"Sapherd is tilting-I'm going to want to call it shepherd and that's incorrect, leading to a lot of tongue-twisting. The card is good though, as it makes a good amount of stats and has relevant creature types too. Once again, these Saproling cards are playable in any deck."
