Card,Set,Mana Cost,Card Type,Color,Rarity,lowScore,highScore,review,power,toughness,text
Unfriendly Fire,Ixalan,4R,Instant,Red,Common,3,,"Being able to hit the opponent makes this a card I'm happy to see, much like any good friend. It's fine to have multiples, and even though it's not the most efficient card in the world, you are never cutting it.",,,Unfriendly Fire deals 4 damage to target creature or player.
Vanquish the Weak,Ixalan,2B,Instant,Black,Common,3,,"This hits targets in every deck and does so at instant speed, which is a deal I'll take for 3 mana. Much like every other conditional removal, there is some risk when you have multiples, but unless I was completely smothered in these, I wouldn't worry about it.",,,Destroy target creature with power 3 or less.
Voracious Vampire,Rivals of Ixalan,2B,Creature  - Vampire Knight,Black,Common,3,,"A solid threat with an ability that pushes extra damage through is nice, making this a good playable in Vampire decks.",2,2,"Menace. When Voracious Vampire enters the battlefield, target Vampire you control gets +1/+1 and gains menace until end of turn."
Watertrap Weaver,Ixalan,2U,Creature  - Merfolk Wizard,Blue,Common,3,,"I like this effect in just about any deck, as it helps push aggression or stabilize when you are behind. It's even a Merfolk, which is a substantial bonus for some decks.",2,2,"When Watertrap Weaver enters the battlefield, tap target creature an opponent controls. That creature doesn't untap during its controller's next untap step."
Arterial Flow,Rivals of Ixalan,1BB,Sorcery,Black,Uncommon,2.5,,"This becomes really juicy once you have a Vampire in play, as it's a little thin without one. The format doesn't suggest that discard will be great, so draining for 2 goes a long way. You are affecting the board (essentially) by gaining 2, and that extra life gives you time to take advantage of the 2-for-1 you just got, while also triggering your life gain cards.",,,"Each opponent discards two cards. If you control a Vampire, each opponent loses 2 life and you gain 2 life."
Blossom Dryad,Ixalan,2G,Creature  - Dryad,Green,Common,2.5,,"As long as your curve has a decent amount of 5+ drops, this is a fine addition. In a beatdown deck, I'd leave it by the wayside, but otherwise I'm in.",2,2,{T}: Untap target land.
Cherished Hatchling,Rivals of Ixalan,1G,Creature  - Dinosaur,Green,Uncommon,2.5,,"The bark on this one is worse than the bite (of its friends). You aren't paying much for the ability, as a 2/1 for 2 is good, but it's hard for things to line up where you have mana up, a Dinosaur, and a fight you want to instigate, all at the right time. Still, the opponent will play scared, making this a card most decks will indeed cherish.",2,1,"When Cherished Hatchling dies, you may cast Dinosaur spells this turn as though they had flash, and whenever you cast a Dinosaur spell this turn, it gains ""When this creature enters the battlefield, you may have it fight another target creature."""
Colossal Dreadmaw,Both,4GG,Creature  - Dinosaur,Green,Common,2.5,,"This is slightly worse than Carnage Tyrant, mainly because of the worse stats and the lack of great abilities. It's still a perfectly acceptable finisher, and a card I'll play multiples of in a ramp deck. It doesn't even sound bad to play one in a red-green beatdown deck, as a 6/6 trample is no laughing matter for the opponent.",6,6,Trample
Colossal Dreadmaw,Both,4GG,Creature  - Dinosaur,Green,Common,2.5,,"This is slightly worse than Carnage Tyrant, mainly because of the lesser stats and lack of great abilities. It's still a perfectly acceptable finisher, and a card I'll play multiples of in a ramp deck. It doesn't even sound bad to play one in a red-green beatdown deck, as a 6/6 trample is no laughing matter for the opponent.",6,6,Trample
Deeproot Warrior,Ixalan,1G,Creature  - Merfolk Warrior,Green,Common,2.5,,"While strictly a beatdown card, Deeproot Warrior does its job, and does its job well. It gets in without fear, and will be a sought-after part of any aggressive strategy. This is a good card to be aware of since it's quite the on-the-board trick if you block with a 2/2. I expect its kill count to be high at the prerelease.",2,2,"Whenever Deeproot Warrior becomes blocked, it gets +1/+1 until end of turn."
Depths of Desire,Ixalan,2U,Instant,Blue,Common,2.5,,"I'd almost always run the first one of these, as a bounce spell that doubles as 1-shot ramp plus minor color fixing is a good deal for 3. Bounce spells do tend to get worse in multiples, as they are intrinsically card disadvantage, but I suspect most decks will desire one or two of these.",,,"Return target creature to its owner's hand. Create a colorless Treasure artifact token with ""{T}, Sacrifice this artifact: Add one mana of any color to your mana pool."""
Dire Fleet Interloper,Ixalan,3B,Creature  - Human Pirate,Black,Common,2.5,,"I'm a huge fan of all of the explore cards, though this one is a tick below auto-play because of how badly it fares on defense. It's still a good card, and one you will play almost every time, but in a control deck you can't always afford to spend 4 mana on a creature with a mostly offensive slant.",2,2,"Menace. When Dire Fleet Interloper enters the battlefield, it explores. (Reveal the top card of your library. Put that card into your hand if it's a land. Otherwise, put a +1/+1 counter on this creature, then put the card back or put it into your graveyard.)"
Divine Verdict,Rivals of Ixalan,3W,Instant,White,Common,2.5,,"The verdict is in, and this is still playable. It's not efficient, and aggro decks won't love it, but it's playable in just about any white deck.",,,Destroy target attacking or blocking creature.
Fathom Fleet Firebrand,Ixalan,1R,Creature  - Human Pirate,Red,Common,2.5,,"Try saying this three times fast, or just skip that and play it in your aggressive decks. This is good on turn 2 and does a respectable job later, which is all you can ask for out of your 2-drop.",2,2,{1}{R}: Fathom Fleet Firebrand gets +1/+0 until end of turn.
Fiery Cannonade,Ixalan,2R,Instant,Red,Uncommon,2.5,,"Assuming this doesn't maul your own creatures, I like it in the main deck. It's very effective against Merfolk and Vampires, and can even help against Dinosaurs. Feel free to side it out aggressively, as it's going to be quite bad in some matchups.",,,Fiery Cannonade deals 2 damage to each non-Pirate creature.
Frilled Deathspitter,Rivals of Ixalan,2R,Creature  - Dinosaur,Red,Common,2.5,,"It's hard to imagine cutting this from an aggro deck, as it forces through some damage no matter what (even very late in the game). It's a nice combo with Forerunner of the Empire, and annoying to deal with outside of a removal spell. I wouldn't play this in a ramp deck, but in any aggressive deck I'd be frilled to have it.",3,2,"Enrage â€” Whenever Frilled Deathspitter is dealt damage, it deals 2 damage to target opponent."
Giltgrove Stalker,Rivals of Ixalan,1G,Creature  - Merfolk Warrior,Green,Common,2.5,,"Giltgrove Stalker has an annoying little text box, and will sometimes chip in for a solid 4-6 damage before the opponent can muster an appropriate blocker. Plus, if they have to toss a 3/2 or 4/2 in front of it, you're happy about that outcome, and if you can pick up combat tricks the opponent might just run right into them.",2,1,Giltgrove Stalker can't be blocked by creatures with power 2 or less.
Heartless Pillage,Ixalan,2B,Sorcery,Black,Uncommon,2.5,,"I'm a fan of Mind Rot in general, and Mind Rot with a Treasure attached is a great deal. Even in decks with few creatures, this will have high points, and midrange decks can make very good use of this card. I wouldn't always slam it in aggro since discarding two isn't an effect they care about a ton, so this is not quite an auto-play.",,,"Target opponent discards two cards. Raid â€” If you attacked with a creature this turn, create a colorless Treasure artifact token with ""{T}, Sacrifice this artifact: Add one mana of any color to your mana pool."""
Inspiring Cleric,Ixalan,2W,Creature  - Vampire Cleric,White,Uncommon,2.5,,"I wouldn't exactly call this inspiring, but it is a solid body that fills out your curve and keeps you alive. You could do a lot worse for 3 mana, though don't be afraid to side it out against control decks or when a 3/2 lines up poorly against opposing 2-drops.",3,2,"When Inspiring Cleric enters the battlefield, you gain 4 life."
Jade Guardian,Ixalan,3G,Creature  - Merfolk Shaman,Green,Common,2.5,,"I'm actually in for this. It's a 3/3 hexproof for 4 at worst, and there are plenty of Merfolk that could use +1/+1 counters. I also like that Mark of the Vampire and One With the Wind give you some sick combos, allowing you to build a gigantic Jade Golem if that's what you want to do.",2,2,"Hexproof (This creature can't be the target of spells or abilities your opponents control.). When Jade Guardian enters the battlefield, put a +1/+1 counter on target Merfolk you control."
Jadecraft Artisan,Rivals of Ixalan,3G,Creature  - Merfolk Shaman,Green,Common,2.5,,"Jadecraft Artisan packs a reasonable punch, and has good enough stats to be worth including in most green decks. +2/+2 often deals more than 2 extra damage, as it lets you attack when you otherwise couldn't, making this even better than it might look.",3,3,"When Jadecraft Artisan enters the battlefield, target creature gets +2/+2 until end of turn."
Knight of the Stampede,Rivals of Ixalan,3G,Creature  - Human Knight,Green,Common,2.5,,"In a dedicated Dino deck, this is an easy 3.0 and could even be better. Playing this on 4 and playing 9 mana worth of Dinos the turn after is not all that hard, and it rumbles in combat well enough once the mana production is over.",2,4,Dinosaur spells you cast cost {2} less to cast.
Majestic Heliopterus,Rivals of Ixalan,3W,Creature  - Dinosaur,White,Uncommon,2.5,,"In an aggressive deck with a decent amount of Dinos, this acts as a 5+ power flyer. I'm not super excited about it in Dino ramp because it doesn't block well and you usually don't need that much help winning with your 6-drops. Red-white seems like the natural home here, as this could give the deck the last bits of reach it needs. Also, ""heliopterus""? At that point, couldn't you just call it a helicopter?",2,2,"Flying. Whenever Majestic Heliopterus attacks, another target Dinosaur you control gains flying until end of turn."
March of the Drowned,Ixalan,B,Sorcery,Black,Common,2.5,,"I'm a big fan of this card. It's elegant, it plays well, and it's powerful in the right deck, while not being a total miss if things don't line up for it. I'd play this in any deck with 4+ Pirates, and if you have some awesome creatures, you can just run it as Raise Dead without feeling bad.",,,Choose one â€”. â€¢ Return target creature card from your graveyard to your hand. â€¢ Return two target Pirate cards from your graveyard to your hand.
Perilous Voyage,Ixalan,1U,Instant,Blue,Uncommon,2.5,,"It's a shame this doesn't reward you for bouncing the cards you really want to bounce (expensive ones), but it's still a cheap bounce spell with upside if you do bounce something cheap. Not being able to target your own stuff is a real drawback, so keep that in mind-this has lost a lot of flexibility as a result.",,,"Return target nonland permanent you don't control to its owner's hand. If its converted mana cost was 2 or less, scry 2."
Prosperous Pirates,Ixalan,4U,Creature  - Human Pirate,Blue,Common,2.5,,"I really like Prosperous Pirates in a ramp deck. As the top of your curve, they aren't quite as exciting, but getting you to at least 7 mana makes them useful for enabling sweet plays while playing good defense themselves.",3,4,"When Prosperous Pirates enters the battlefield, create two colorless Treasure artifact tokens with ""{T}, Sacrifice this artifact: Add one mana of any color to your mana pool."""
Reckless Rage,Rivals of Ixalan,R,Instant,Red,Uncommon,2.5,,"If you have a lot of burly creatures, this goes way up in value, and is a quite powerful card indeed. Besides playing it on your 3-toughness creatures, this is good to cast in response to removal that would kill one of your creatures or after chump-blocking, making it flexible as well as powerful. Enrage is also a consideration, of course.",,,Reckless Rage deals 4 damage to target creature you don't control and 2 damage to target creature you control.
Resplendent Griffin,Rivals of Ixalan,1WU,Creature  - Griffin,Gold,Uncommon,2.5,,"I'd be a little higher on this if it was any combo except U/W (or /BG), but I'd still run this if I was in these colors. It goes off pretty nicely once you get the city's blessing, though it's not super exciting before that. Still, a 2/2 flyer for 3 is playable enough that I'm not complaining.",2,2,"Flying. Ascend (If you control ten or more permanents, you get the city's blessing for the rest of the game.). Whenever Resplendent Griffin attacks, if you have the city's blessing, put a +1/+1 counter on it."
Sailor of Means,Both,2U,Creature  - Human Pirate,Blue,Common,2.5,,"Another reprint, another card that looks about the same. Ascend makes this a little more appealing, but it hasn't changed in value all that much (unless the format ends up drastically different).",1,4,"When Sailor of Means enters the battlefield, create a colorless Treasure artifact token with ""{T}, Sacrifice this artifact: Add one mana of any color to your mana pool."""
Sanguine Glorifier,Rivals of Ixalan,3W,Creature  - Vampire Cleric,White,Common,2.5,,"You need at least a couple other Vamps before this becomes more than just a glorified Hill Giant, and in an all-Vamp deck it becomes great. Pushing through damage and giving you 4/4 of stats for 4 mana is a solid deal, and it doesn't ask a whole lot in terms of deckbuilding.",3,3,"When Sanguine Glorifier enters the battlefield, put a +1/+1 counter on another target Vampire you control."
Sea Legs,Rivals of Ixalan,U,Enchantment  - Aura,Blue,Common,2.5,,"I love the flavor on this card, and actually think it is quite good to boot. In a Pirate deck, it's a solid combat trick-making your 2/2 into a 2/4 when it battles their 2-drop is a nice tempo swing. Even outside Pirate decks, it can win combats and permanently shrink evasive creatures. This is a good deal for 1 mana, and 1-mana tricks were very good in the prior format.",,,"Flash. Enchant creature. Enchanted creature gets +0/+2 as long as it's a Pirate. Otherwise, it gets -2/-0."
Siegehorn Ceratops,Rivals of Ixalan,GW,Creature  - Dinosaur,Gold,Rare,2.5,,"This combines very nicely with combat tricks, and I'm not in the habit of cutting bears that are in a relevant tribe as-is. It's hard to get ping effects in G/W, so I'm mostly looking at tricks to push this through. Also note that your opponent will almost never block this, as the blowout potential is so high. Maybe this should be a 3.0 due to it being virtually unblockable in the early game?",2,2,"Enrage â€” Whenever Siegehorn Ceratops is dealt damage, put two +1/+1 counters on it. (It must survive the damage to get the counters.)"
Sleek Schooner,Ixalan,3,Artifact  - Vehicle,Artifact,Uncommon,2.5,,"Crew 1 and a low cost do make this sleek enough to run in any deck full of creatures, even if it's not all that exciting.",4,3,Crew 1 (Tap any number of creatures you control with total power 1 or more: This Vehicle becomes an artifact creature until end of turn.)
Squire's Devotion,Rivals of Ixalan,2W,Enchantment  - Aura,White,Common,2.5,,"If Mark of the Vampire is good, how can this not be? You get a nice little chump blocker alongside your Aura, and it's 1 mana cheaper to boot. This is good on evasive creatures and otherwise hard-to-kill targets, and because it's only +1/+1 you do need to pick your champion well.",,,"Enchant creature. Enchanted creature gets +1/+1 and has lifelink. When Squire's Devotion enters the battlefield, create a 1/1 white Vampire creature token with lifelink."
Thaumatic Compass,Ixalan,2,Artifact,Artifact,Rare,2.5,,"I love the idea of grinding out my opponent with this, as it looks like a solid addition to any control deck. It's as slow as they come, so don't go adding it to your aggro decks, but in midrange or control it can be effective. Once it flips, it does an amazing job of keeping you alive, giving you time to finish the game with whatever you desire.",,,"{3}, {T}: Search your library for a basic land card, reveal it, put it into your hand, then shuffle your library. At the beginning of your end step, if you control seven or more lands, transform Thaumatic Compass."
Thrash of Raptors,Ixalan,3R,Creature  - Dinosaur,Red,Common,2.5,,"In a midrange Dinosaur deck, this will thrash your opponent very quickly. A 5/3 trample is a great deal for 4, and this plays nicely with fight cards and combat tricks. Outside of Dinosaur decks, this is a marginal playable, but a 3/3 for 4 isn't so bad that you can't run it with just a few other Dinos.",3,3,"As long as you control another Dinosaur, Thrash of Raptors gets +2/+0 and has trample."
Aquatic Incursion,Rivals of Ixalan,3U,Enchantment,Blue,Uncommon,2,,"Paying 4 mana for two 1/1s with hexproof is below the bar, so to make this good you need to care about the fact that they are Merfolk and have use for the activated ability. My guess is that more than half of Merfolk decks fit that description, making this a solid card. The unblockable ability does hand you a good late-game plan, and getting some Merfolk to block with and amp up your tribal synergies is a decent package, all told.",,,"When Aquatic Incursion enters the battlefield, create two 1/1 blue Merfolk creature tokens with hexproof. (They can't be the targets of spells or abilities your opponents control.). {3}{U}: Target Merfolk can't be blocked this turn."
Brazen Buccaneers,Ixalan,3R,Creature  - Human Pirate,Red,Common,2,,"More aggressive Pirates, more exploring, and more hoping to hit a +1/+1 counter. Ahoy!",2,2,"Haste. When Brazen Buccaneers enters the battlefield, it explores. (Reveal the top card of your library. Put that card into your hand if it's a land. Otherwise, put a +1/+1 counter on this creature, then put the card back or put it into your graveyard.)"
Commune with Dinosaurs,Ixalan,G,Sorcery,Green,Common,2,,"In a deck with 10+ Dinosaurs, this provides a good amount of flexibility. A 1 mana spell that can find you lands or threats, depending on what you need, is valuable. The price is that you need Dinosaurs, or this becomes a glorified land, but once you pay that price this is a good addition. It also has what I assume is a playtest name that somehow slipped through, but that doesn't affect game play.",,,Look at the top five cards of your library. You may reveal a Dinosaur or land card from among them and put it into your hand. Put the rest on the bottom of your library in any order.
Deadeye Tormentor,Ixalan,2B,Creature  - Human Pirate,Black,Common,2,,"If you can reliably attack and trigger this, it's both efficient and annoying for your opponent. I wouldn't be dead set on playing it in a midrange deck, and likely wouldn't play it in a control deck, because missing the raid trigger makes this the height of mediocrity.",2,2,"Raid â€” When Deadeye Tormentor enters the battlefield, if you attacked with a creature this turn, target opponent discards a card."
Desperate Castaways,Ixalan,1B,Creature  - Human Pirate,Black,Common,2,,"These work well in a defensive deck and are roused to fight at the sight of Treasure, which makes them good in most U/B decks as well. I'm not desperate to pick them up, but I'll be happy to play them more often than not. Later in the Draft, their value can increase as well if you've got a lot of artifacts or are lacking 2s.",2,3,Desperate Castaways can't attack unless you control an artifact.
Dire Fleet Captain,Ixalan,BR,Creature  - Orc Pirate,Gold,Uncommon,2,,"In the aggressive Red-Black Pirates deck, this is a threatening beater. Outside of that, things look a little more dire, and I'm not all that interested in playing this. It's a good addition to the deck if you can pick it up later, but I wouldn't take this early and go into it.",2,2,"Whenever Dire Fleet Captain attacks, it gets +1/+1 until end of turn for each other attacking Pirate."
Dire Fleet Hoarder,Ixalan,1B,Creature  - Human Pirate,Black,Common,2,,"Decks that want 2/1s don't usually have a super high curve, but Treasure is valuable for every deck, even if it's better with 6+ drops. This looks like a solid way to make sure you have early plays, and has decent value up until the very late game.",2,1,"When Dire Fleet Hoarder dies, create a colorless Treasure artifact token with ""{T}, Sacrifice this artifact: Add one mana of any color to your mana pool."""
Jade Bearer,Rivals of Ixalan,G,Creature  - Merfolk Shaman,Green,Common,2,,"This is almost a build-around, even if the Bearer itself is never driving a deck. It's basically unplayable outside dedicated Merfolk, but it's good in that deck, as it adds 2/2 of stats for 1 mana, and can enable synergies as needed.",1,1,"When Jade Bearer enters the battlefield, put a +1/+1 counter on another target Merfolk you control."
Mist-Cloaked Herald,Rivals of Ixalan,U,Creature  - Merfolk Warrior,Blue,Common,2,,"I really want to call this unplayable, but in my heart of hearts, I know it isn't. Aggro Merfolk decks will be happy to run this, and I'm sure that U/R Raid decks with Swashbuckling will too. One day, blocking will be legal again.",1,1,Mist-Cloaked Herald can't be blocked.
Orazca Frillback,Rivals of Ixalan,2G,Creature  - Dinosaur,Green,Common,2,,"In an aggressive green deck, this is passable, and in a deck that cares about Dinos, it's got a few nice synergies that make it playable. In neither case am I super hyped, but it's a fine card.",4,2,
Pirate's Prize,Ixalan,3U,Sorcery,Blue,Common,2,,"I like the combination of drawing cards and getting a bonus mana to pay for them, though I'm aware that not every deck will want expensive card draw. The Prize also goes down as you get multiples, as there are only so many slots you can dedicate to effects like this. As for how many slots, I'm guessing 2-4, though I'm willing to find out what the upper limit is.",,,"Draw two cards. Create a colorless Treasure artifact token with ""{T}, Sacrifice this artifact: Add one mana of any color to your mana pool."""
Pterodon Knight,Ixalan,3W,Creature  - Human Knight,White,Common,2,,"You don't need very many Dinosaurs to make Pterodon Knight passable, as a 3/3 for 4 is already nearly good enough (or in the case of mediocre decks, definitely good enough). Just watch out for your Dinosaur being bounced or removed midcombat, as a Knight falling from the sky is not a pretty sight.",3,3,Pterodon Knight has flying as long as you control a Dinosaur.
Queen's Agent,Ixalan,5B,Creature  - Vampire Scout,Black,Common,2,,"This is an explorer that really wants to get that +1/+1 counter, especially since you don't really need lands once you've already hit six. I like this as high end, though it can be outclassed by Dinosaurs fairly easily. I also like adding more lifelinkers to the Vampire clan, as it gives you more and more incentives to run pump spells.",3,3,"Lifelink. When Queen's Agent enters the battlefield, it explores. (Reveal the top card of your library. Put that card into your hand if it's a land. Otherwise, put a +1/+1 counter on this creature, then put the card back or put it into your graveyard.)"
Raptor Companion,Both,1W,Creature  - Dinosaur,White,Common,2,,"You'll run Raptor Companion more often than not, both for the stats and because it's a cheap Dinosaur that enables a variety of tribal effects. That's a fine deal for 2 mana, so don't expect to float these late.",3,1,
Recover,Rivals of Ixalan,2B,Sorcery,Black,Common,2,,"I suspect you'll want exactly 1 Recover in most black decks, as it is a little slow. The more cheap creatures (and good ones) you have, the more room you have for another copy, but beware of getting too bogged down with situational cards like this.",,,Return target creature card from your graveyard to your hand. Draw a card.
Rigging Runner,Ixalan,R,Creature  - Goblin Pirate,Red,Uncommon,2,,"In hyper aggressive decks, this can really bring some beats, and if you start with 2-drop into 2-drop plus Rigging Runner, your opponent will certainly feel like things are rigged. Outside of those decks, this is wildly unplayable, so only run this if you are sure that you can support it.",1,1,First strike. Raid â€” Rigging Runner enters the battlefield with a +1/+1 counter on it if you attacked with a creature this turn.
Sailor of Means,Both,2U,Creature  - Human Pirate,Blue,Common,2,,"I like the support for blue ramp here, as this fits perfectly into a control deck. It gives you a good blocker and a one-shot mana accelerant, all of which costs you only 3 mana. Aggressive decks will pass on this, but midrange and control shouldn't.",1,4,"When Sailor of Means enters the battlefield, create a colorless Treasure artifact token with ""{T}, Sacrifice this artifact: Add one mana of any color to your mana pool."""
Shaper Apprentice,Ixalan,1U,Creature  - Merfolk Wizard,Blue,Common,2,,"There isn't a huge cost to having this without other Merfolk, as a 2/1 for 2 is only slightly below average. As such, I'd prioritize it in a heavy Merfolk deck, but would still play it with just a few other fishy friends, assuming your curve needs a 2-drop.",2,1,Shaper Apprentice has flying as long as you control another Merfolk.
Spire Winder,Rivals of Ixalan,3U,Creature  - Snake,Blue,Common,2,,"Spire Winder, on the other hand, is priced to move. It's a decent-sized flyer for 4 mana, and every now and then gets a nice bump in the late game. No deck needs this, but most blue decks would be happy playing it.",2,3,"Flying. Ascend (If you control ten or more permanents, you get the city's blessing for the rest of the game.). Spire Winder gets +1/+1 as long as you have the city's blessing."
Stampeding Horncrest,Rivals of Ixalan,4R,Creature  - Dinosaur,Red,Common,2,,"In a deck that reliably has other Dinos in play, the Horncrest is a solid aggressive threat. Not every Dino deck is aggressive, so I imagine this more as the top of the curve in a R/W deck than the middle part of a R/G deck.",4,4,Stampeding Horncrest has haste as long as you control another Dinosaur.
Sun Sentinel,Rivals of Ixalan,1W,Creature  - Human Soldier,White,Common,2,,"Being off-tribe hurts this one quite a bit, and vigilance isn't even a great ability on a 2/2. You're going to play this to fill out your curve, but it's never going to shine.",2,2,Vigilance
Sun-Crested Pterodon,Rivals of Ixalan,4W,Creature  - Dinosaur,White,Common,2,,"This isn't the worst 5-drop, as it's got solid stats and potentially two good abilities. I like this in defensive decks, and Dinosaurs can lean that way.",2,5,Flying. Sun-Crested Pterodon has vigilance as long as you control another Dinosaur.
Thunderherd Migration,Rivals of Ixalan,1G,Sorcery,Green,Uncommon,2,,"In a dedicated Dino deck, this is one of the better 2-drops, as it ramps you right to the part of the curve where Dinos excels (the top part). Outside of Dinos, it's not worth playing, unless you had a busted deck that required splashing. 3 is too much to pay for this effect, while 2 is exciting.",,,"As an additional cost to cast Thunderherd Migration, reveal a Dinosaur card from your hand or pay {1}. Search your library for a basic land card, put it onto the battlefield tapped, then shuffle your library."
Unclaimed Territory,Ixalan,,Land,Land,Uncommon,2,,"In a heavy tribal deck, this is likely worth it, though not by a ton. It does add colorless for other cards, but not fixing mana when it comes to spells is a big drawback.",,,"As Unclaimed Territory enters the battlefield, choose a creature type. {T}: Add {C} to your mana pool. {T}: Add one mana of any color to your mana pool. Spend this mana only to cast a creature spell of the chosen type."
Verdant Rebirth,Ixalan,1G,Instant,Green,Uncommon,2,,"I have to admit, I'm curious about this card. It's a mediocre way to save a creature, as you have to re-cast it (though that does re-trigger enter-the-battlefield abilities). But it not only is a 2-for-1 when it works-you can effectively cycle it by just firing it off. I think that adds up to enough value that you should almost always play it, and I can see moving up the rating after playing with it a few times.",,,"Until end of turn, target creature gains ""When this creature dies, return it to its owner's hand."". Draw a card."
Wind Strider,Ixalan,4U,Creature  - Merfolk Wizard,Blue,Common,2,,"This set of stats and abilities always performs worse than it looks, so I'm going to start low on Wind Strider. 5 is just a lot of mana, and this rarely ends up ambushing the opponent, making it unexciting in a format with a lot of powerful things going on.",3,3,Flash. Flying
Admiral's Order,Rivals of Ixalan,1UU,Instant,Blue,Rare,1.5,,"Cancel isn't a particularly strong card in this format, and letting you cast it for 1 mana during your combat step doesn't make me admire it all that much more.",,,"Raid â€” If you attacked with a creature this turn, you may pay {U} rather than pay this spell's mana cost. Counter target spell."
Belligerent Brontodon,Ixalan,5GW,Creature  - Dinosaur,Gold,Uncommon,1.5,,"I'm not a huge fan of 7-mana 6/6s, but this does have a bit more going on. Looming Altisaur is real good pals with the Brontodon, despite his belligerence, and I can imagine it being a solid way to top off your curve.",4,6,Each creature you control assigns combat damage equal to its toughness rather than its power.
Bishop of the Bloodstained,Ixalan,3BB,Creature  - Vampire Cleric,Black,Uncommon,1.5,3,"In a deck with a light Vampire theme, this doesn't do a lot. It's passable, but you really want to make a huge bloody mess, not just sprinkle a little onto the ground. In a dedicated Vampire deck, this looks like an awesome finisher, and I can imagine it doing 4+ damage easily. Make those tokens and reap the rewards.",3,3,"When Bishop of the Bloodstained enters the battlefield, target opponent loses 1 life for each Vampire you control."
Brazen Freebooter,Rivals of Ixalan,3R,Creature  - Human Pirate,Red,Common,1.5,,"Sometimes you need more Pirates, and sometimes you want Treasure. If that's the case, feel free to play this, but don't expect big things-a 3/3 for 4 isn't special, and 1 Treasure doesn't change that too much.",3,3,"When Brazen Freebooter enters the battlefield, create a colorless Treasure artifact token with ""{T}, Sacrifice this artifact: Add one mana of any color to your mana pool."""
Cancel,Ixalan,1UU,Instant,Blue,Common,1.5,,"Cancel always hovers between a 1.0 and a 2.5 or so, with the most likely grade being 1.5. Most formats aren't that kind to 3-mana counters that require double-blue, as the payoff for casting it is that you traded 1-for-1 and the punishment for having it sit in your hand is severe. I'd start by assuming this is marginally playable, and upgrade that if it turns out the format is slow enough.",,,Counter target spell.
Crash the Ramparts,Ixalan,2G,Instant,Green,Common,1.5,,"Crash the Ramparts lives up to its name, as it will let you crash through for the final points of damage effectively. It's expensive enough that you don't get a ton of value in the early/midgame as you end up spending your whole turn on it, so I wouldn't prioritize it. You want one of these to finish things off, but aren't going to feel too bad if you don't get it.",,,Target creature gets +3/+3 and gains trample until end of turn.
Daring Buccaneer,Rivals of Ixalan,R,Creature  - Human Pirate,Red,Uncommon,1.5,3,"If you can reliably play this turn 1, it's a nice pickup. It's a little daring to run this without a lot of Pirates, but it's not the end of the world if you do have to cast it for 3 mana. I'd want 8+ Pirates to make it good, and 4+ to run it begrudgingly.",2,2,"As an additional cost to cast Daring Buccaneer, reveal a Pirate card from your hand or pay {2}."
Dinosaur Stampede,Ixalan,2R,Instant,Red,Uncommon,1.5,,"I don't like this in the big Dino deck, as 6+ drops are finishers in their own right. Where it is interesting is in the more midrange/aggressive red-green Dino deck that focuses on 2-5 drops instead. I could see this making the cut, and adding a much needed 4-6 damage at the end of the game.",,,Attacking creatures get +2/+0 until end of turn. Dinosaurs you control gain trample until end of turn.
Dusk Charger,Rivals of Ixalan,3B,Creature  - Horse,Black,Common,1.5,,"Neither side of this is exciting. It's a Hill Giant early and a 5/5 by the late game, at which point it's unlikely to be the card with the most horsepower. In decks with a lot of token-making, maybe this gets there, but I'm not overly impressed.",3,3,"Ascend (If you control ten or more permanents, you get the city's blessing for the rest of the game.). Dusk Charger gets +2/+2 as long as you have the city's blessing."
Encampment Keeper,Ixalan,W,Creature  - Hound,White,Common,1.5,,"I'd only run Keepers if the base version has some value to your deck, which in this case is a 1/1 first strike. An aggro deck could want that, but no other deck will, and waiting until 8 mana means that the sacrifice ability won't go off all that often. This is another card you probably should play a bit less often than you think.",1,1,"First strike. {7}{W}, {T}, Sacrifice Encampment Keeper: Creatures you control get +2/+2 until end of turn."
Fleet Swallower,Ixalan,5UU,Creature  - Fish,Blue,Rare,1.5,,"This is essentially graded as a 7-mana 6/6, because milling half the opponent's library just isn't that relevant an effect if you are attacking with such a monstrous creature. There are some games where that will matter, but for the most part this is an expensive finisher, and not a very notable one at that.",6,6,"Whenever Fleet Swallower attacks, target player puts the top half of his or her library, rounded up, into his or her graveyard."
Frenzied Raptor,Ixalan,2R,Creature  - Dinosaur,Red,Common,1.5,,"4/2s trade down for 2-drops too easily for this to be a high priority, but it will make the cut if you care that it's a Dinosaur. There are plenty of decks where that is enough, and it's unlikely anyone else at the table will be stealing this from you.",4,2,
Headwater Sentries,Ixalan,3U,Creature  - Merfolk Warrior,Blue,Common,1.5,,"This can help you make headwater in filling out your curve, but that's about it. If you really need a 4-drop, or are a heavy Merfolk deck, there are fishier things you could spend 4 mana on.",2,5,
Imperial Lancer,Ixalan,W,Creature  - Human Knight,White,Uncommon,1.5,,"A 2/1 for 1 isn't as good as it looks in Limited, and this only becomes that later in the game, at which point it might just get blanked. Even in a Dinosaur-heavy deck, I'm not excited about this.",1,1,Imperial Lancer has double strike as long as you control a Dinosaur.
